,Name,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction
0,rxn_33,12.349,59.194,-46.846
1,rxn_53,21.045,63.585,-42.541
2,rxn_83,9.708,51.918,-42.21
3,rxn_216,12.852,49.791,-36.939
4,rxn_310,12.126,59.347,-47.221
5,rxn_365,28.063,69.081,-41.018
8,rxn_632,13.082,59.303,-46.222
12,rxn_721,17.416,63.869,-46.453
13,rxn_745,21.61,31.398,-9.789
14,rxn_751,6.493,24.358,-17.864
15,rxn_769,24.469,33.552,-9.083
19,rxn_839,20.244,34.879,-14.635
20,rxn_853,23.146,33.762,-10.616
22,rxn_942,25.773,49.51,-23.737
23,rxn_971,23.796,44.048,-20.252
24,rxn_1000,32.576,38.522,-5.945
25,rxn_1011,32.332,36.57,-4.238
26,rxn_1017,26.845,37.008,-10.163
27,rxn_1024,17.269,33.358,-16.089
29,rxn_1093,23.345,36.511,-13.165
30,rxn_1181,20.272,35.099,-14.827
32,rxn_1225,15.801,31.14,-15.339
34,rxn_1248,24.114,34.703,-10.589
35,rxn_1285,24.353,41.793,-17.441
38,rxn_1394,18.508,33.244,-14.736
39,rxn_1424,22.545,36.448,-13.903
40,rxn_1441,27.91,39.314,-11.404
41,rxn_1463,9.91,57.464,-47.554
42,rxn_1466,6.918,56.588,-49.67
43,rxn_1469,8.818,59.337,-50.519
44,rxn_1479,18.362,62.367,-44.005
45,rxn_1480,11.446,55.281,-43.835
47,rxn_1495,8.816,59.825,-51.009
49,rxn_1536,13.018,51.098,-38.08
50,rxn_1606,15.575,54.508,-38.933
51,rxn_1708,16.005,53.528,-37.524
53,rxn_1779,14.41,51.444,-37.033
54,rxn_1801,10.201,58.009,-47.808
55,rxn_1814,11.769,56.56,-44.791
56,rxn_1886,19.637,58.072,-38.435
58,rxn_1919,15.154,49.583,-34.429
60,rxn_2012,13.409,54.967,-41.558
61,rxn_2211,21.748,63.376,-41.628
63,rxn_2260,9.48,60.319,-50.839
64,rxn_2270,8.6,56.284,-47.684
65,rxn_2310,16.861,58.966,-42.106
66,rxn_2326,20.185,58.922,-38.737
67,rxn_2334,12.336,59.043,-46.706
68,rxn_2468,20.537,56.96,-36.423
69,rxn_2473,7.371,58.25,-50.879
71,rxn_2482,11.454,57.617,-46.163
72,rxn_2517,18.407,57.795,-39.388
73,rxn_2530,13.053,59.13,-46.077
75,rxn_2645,11.198,56.571,-45.373
76,rxn_2672,10.114,58.614,-48.499
77,rxn_2676,4.549,56.008,-51.459
79,rxn_2720,6.424,56.56,-50.136
80,rxn_2759,10.025,58.457,-48.432
81,rxn_2760,7.92,57.497,-49.577
82,rxn_2890,11.992,57.604,-45.612
84,rxn_2972,23.214,51.026,-27.812
86,rxn_3030,9.836,49.868,-40.032
88,rxn_3198,2.956,46.862,-43.906
89,rxn_3225,10.984,51.091,-40.107
91,rxn_3483,18.226,46.708,-28.482
92,rxn_3536,17.345,47.952,-30.606
93,rxn_3759,-13.372,28.249,-41.621
95,rxn_3781,-8.668,32.227,-40.894
97,rxn_4123,-0.403,40.403,-40.805
99,rxn_4392,6.599,39.465,-32.866
100,rxn_4581,22.283,51.477,-29.194
101,rxn_4652,-6.382,43.77,-50.152
103,rxn_4937,5.212,37.033,-31.821
104,rxn_5047,1.292,46.74,-45.448
105,rxn_5129,-2.13,43.758,-45.888
106,rxn_5191,47.32,42.387,4.933
107,rxn_5245,39.171,40.261,-1.091
108,rxn_5345,39.843,43.335,-3.492
109,rxn_5374,38.367,42.099,-3.732
111,rxn_5432,36.878,49.092,-12.214
112,rxn_5506,37.349,41.462,-4.113
113,rxn_5534,41.684,39.845,1.839
116,rxn_5581,35.794,50.869,-15.076
117,rxn_5582,29.648,38.923,-9.274
118,rxn_5590,33.639,41.852,-8.213
119,rxn_5616,32.942,42.693,-9.75
121,rxn_5653,34.469,45.699,-11.231
123,rxn_5748,30.299,53.818,-23.519
124,rxn_5751,31.802,45.027,-13.224
125,rxn_5756,35.156,52.452,-17.296
127,rxn_5854,34.262,46.707,-12.445
131,rxn_5956,44.238,63.801,-19.563
135,rxn_5998,32.537,48.563,-16.027
136,rxn_6105,41.173,51.081,-9.908
139,rxn_6178,43.69,61.999,-18.308
140,rxn_6180,30.234,40.882,-10.648
143,rxn_6261,33.059,47.265,-14.206
145,rxn_6317,58.609,58.987,-0.379
146,rxn_6322,65.422,62.577,2.845
149,rxn_6410,27.425,26.777,0.648
151,rxn_6583,48.563,42.515,6.048
152,rxn_6612,27.913,23.675,4.238
154,rxn_7236,28.615,36.9,-8.285
157,rxn_7614,27.936,34.059,-6.123
160,rxn_7911,33.615,77.436,-43.821
161,rxn_7955,31.494,77.52,-46.026
168,rxn_8339,23.871,76.717,-52.846
169,rxn_8396,27.995,76.315,-48.32
