,Type,rxn_smiles
0,Diels-Alder,C=CC(C)=CC.O=C1C=CC(=O)c2c(O)cccc21>>CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C
1,Diels-Alder,C=CC(F)=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C(F)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
2,Diels-Alder,C=CC(=CC)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C
3,Diels-Alder,C=CC(O)=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C(O)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
4,Diels-Alder,C=CC(C#N)=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C(C#N)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
5,Diels-Alder,C=CC(=CC)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C
6,Diels-Alder,C=CC(=CC)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C
7,Diels-Alder,C=CC(=CC)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C
8,Diels-Alder,C=CC(=CC)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C
9,Diels-Alder,C=C(C)C=CC.O=C1C=CC(=O)c2c(O)cccc21>>CC1=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
10,Diels-Alder,C=C(F)C=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=C(F)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
11,Diels-Alder,C=C(C=CC)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
12,Diels-Alder,C=C(O)C=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=C(O)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
13,Diels-Alder,C=C(C#N)C=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=C(C#N)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
14,Diels-Alder,C=C(C=CC)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
15,Diels-Alder,C=C(C=CC)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
16,Diels-Alder,C=C(C=CC)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
17,Diels-Alder,C=C(C=CC)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
18,Diels-Alder,CC=CC=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=C[C@H](C)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
19,Diels-Alder,CC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=C[C@H](F)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
20,Diels-Alder,CC=CC=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@H]1C=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
21,Diels-Alder,CC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=C[C@H](O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
22,Diels-Alder,CC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=C[C@H](C#N)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
23,Diels-Alder,CC=CC=CC(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
24,Diels-Alder,CC=CC=COC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
25,Diels-Alder,CC=CC=CNC.O=C1C=CC(=O)c2c(O)cccc21>>CN[C@H]1C=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
26,Diels-Alder,CC=CC=CSC.O=C1C=CC(=O)c2c(O)cccc21>>CS[C@H]1C=C[C@@H](C)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
27,Diels-Alder,C=CC=CC.O=C1C=CC(=O)c2c(O)cccc21>>C[C@@H]1C=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
28,Diels-Alder,C=CC(C)=CF.O=C1C=CC(=O)c2c(O)cccc21>>CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
29,Diels-Alder,C=CC(F)=CF.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC=C(F)[C@@H](F)[C@@H]12
30,Diels-Alder,C=CC(=CF)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
31,Diels-Alder,C=CC(O)=CF.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC=C(O)[C@@H](F)[C@@H]12
32,Diels-Alder,C=CC(C#N)=CF.O=C1C=CC(=O)c2c(O)cccc21>>N#CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1F
