,Name,Type,b3lyp-DFT-forward,REF-forward,b3lyp-DELTA-forward,b3lyp-DFT-reverse,REF-reverse,b3lyp-DELTA-reverse,b3lyp-DFT-reaction,REF-reaction,b3lyp-DELTA-reaction
0,02_1,Diels-Alder,21.102,8.1,13.002,33.49,43.77,-10.280,-12.388,-35.66,23.272
1,02_2,Diels-Alder,22.622,8.85,13.772,33.896,43.49,-9.594,-11.274,-34.63,23.356
2,02_3,Diels-Alder,23.469,11.45,12.019,38.864,47.83,-8.966,-15.395,-36.38,20.985
3,02_4,Diels-Alder,21.726,10.15,11.576,38.323,47.06,-8.737,-16.597,-36.92,20.323
4,02_5,Diels-Alder,25.958,26.57,-0.612,89.912,93.72,-3.808,-63.954,-67.15,3.196
5,02_6,Diels-Alder,26.84,26.77,0.070,58.165,62.05,-3.885,-31.325,-35.27,3.945
6,02_7,Diels-Alder,23.805,19.07,4.735,26.353,39.4,-13.047,-2.549,-20.32,17.771
7,02_8,Diels-Alder,15.918,12.2,3.718,22.079,36.77,-14.691,-6.16,-24.57,18.410
8,02_9,Diels-Alder,24.571,17.83,6.741,34.198,47.85,-13.652,-9.627,-30.02,20.393
9,02_10,Diels-Alder,29.562,19.75,9.812,36.886,50.92,-14.034,-7.324,-31.17,23.846
10,02_11,Diels-Alder,34.386,23.08,11.306,33.234,45.7,-12.466,1.151,-22.62,23.771
11,02_12,Diels-Alder,32.667,24.51,8.157,32.703,44.87,-12.167,-0.036,-20.36,20.324
12,02_13,Diels-Alder,32.086,24.9,7.186,50.616,60.92,-10.304,-18.529,-36.03,17.501
13,02_14,Diels-Alder,30.428,21.97,8.458,50.355,60.48,-10.125,-19.927,-38.51,18.583
14,02_15,Diels-Alder,34.707,25.29,9.417,48.614,60.68,-12.066,-13.908,-35.39,21.482
15,02_16,Diels-Alder,27.597,23.43,4.167,40.839,53.32,-12.481,-13.242,-29.89,16.648
16,02_17,Diels-Alder,18.94,15.27,3.670,49.383,59.46,-10.077,-30.442,-44.18,13.738
17,02_18,Diels-Alder,22.767,19.86,2.907,59.703,70.4,-10.697,-36.936,-50.54,13.604
18,02_19,Diels-Alder,26.26,22.04,4.220,47.664,59.33,-11.666,-21.404,-37.29,15.886
19,02_20,Diels-Alder,23.822,19.1,4.722,47.819,56.89,-9.071,-23.997,-37.79,13.793
20,02_21,Diels-Alder,14.114,12.4,1.714,52.371,62.14,-9.769,-38.257,-49.74,11.483
21,02_22,Diels-Alder,8.164,8.83,-0.666,62.191,68.85,-6.659,-54.027,-60.01,5.983
22,02_23,Diels-Alder,29.345,24.81,4.535,48.405,57.02,-8.615,-19.06,-32.21,13.150
23,02_24,Diels-Alder,31.367,26.62,4.747,65.309,73.95,-8.641,-33.942,-47.33,13.388
24,02_25,Diels-Alder,29.235,23.55,5.685,45.822,54.52,-8.698,-16.587,-30.97,14.383
25,02_26,Diels-Alder,35.025,27.83,7.195,38.573,47.79,-9.217,-3.548,-19.96,16.412
26,02_27,Diels-Alder,36.595,29.6,6.995,40.083,50.22,-10.137,-3.488,-20.62,17.132
27,02_28,Diels-Alder,27.726,21.69,6.036,27.52,38.32,-10.800,0.206,-16.63,16.836
28,02_29,Diels-Alder,16.092,1.65,14.442,27.133,35.57,-8.437,-11.042,-33.92,22.878
29,02_30,Diels-Alder,20.211,7.98,12.231,45.955,55.02,-9.065,-25.744,-47.04,21.296
30,02_31,Diels-Alder,30.297,15.12,15.177,25.497,36.68,-11.183,4.8,-21.56,26.360
31,02_32,Diels-Alder,19.074,6.61,12.464,43.418,54.79,-11.372,-24.343,-48.18,23.837
32,02_33,Diels-Alder,15.614,11.62,3.994,40.893,53.25,-12.357,-25.28,-41.63,16.350
33,02_34,Diels-Alder,21.955,18.28,3.675,22.736,30.48,-7.744,-0.781,-12.21,11.429
34,02_35,Diels-Alder,19.419,16.53,2.889,22.207,29.81,-7.603,-2.788,-13.28,10.492
35,02_36,Diels-Alder,16.645,15.49,1.155,25.765,33.65,-7.885,-9.12,-18.16,9.040
36,02_37,Diels-Alder,18.644,17.0,1.644,25.577,34.43,-8.853,-6.933,-17.43,10.497
37,02_38,Diels-Alder,26.342,22.73,3.612,27.937,36.09,-8.153,-1.594,-13.36,11.766
38,02_39,Diels-Alder,39.572,37.42,2.152,30.231,39.32,-9.089,9.341,-1.9,11.241
39,02_40,Diels-Alder,28.693,14.26,14.433,16.163,27.77,-11.607,12.529,-13.51,26.039
40,02_41,Diels-Alder,42.679,28.06,14.619,19.712,31.78,-12.068,22.967,-3.72,26.687
41,02_42,Diels-Alder,20.151,8.58,11.571,39.851,47.74,-7.889,-19.7,-39.15,19.450
42,02_43,Diels-Alder,27.438,16.35,11.088,40.336,48.76,-8.424,-12.898,-32.41,19.512
43,02_44,Diels-Alder,25.428,16.64,8.788,43.555,53.18,-9.625,-18.128,-36.54,18.412
44,02_45,Diels-Alder,23.335,16.98,6.355,51.787,59.46,-7.673,-28.452,-42.48,14.028
45,02_46,Diels-Alder,34.932,26.48,8.452,40.72,51.36,-10.640,-5.787,-24.88,19.093
46,02_47,Diels-Alder,5.005,-1.34,6.345,79.076,88.51,-9.434,-74.071,-89.85,15.779
47,02_48,Diels-Alder,9.142,1.98,7.162,75.539,86.44,-10.901,-66.397,-84.47,18.073
48,02_49,Diels-Alder,26.697,13.95,12.747,37.276,47.2,-9.924,-10.579,-33.24,22.661
49,02_50,[3+2]cycloaddition,23.376,18.44,4.936,26.86,35.48,-8.620,-3.484,-17.04,13.556
50,02_51,[3+2]cycloaddition,6.901,-1.95,8.851,18.261,24.26,-5.999,-11.359,-26.21,14.851
51,02_52,[3+2]cycloaddition,22.071,12.39,9.681,28.248,36.11,-7.862,-6.178,-23.72,17.542
52,02_53,[3+2]cycloaddition,21.679,10.45,11.229,27.8,35.89,-8.090,-6.121,-25.44,19.319
53,02_54,[3+2]cycloaddition,9.953,-0.12,10.073,19.507,26.38,-6.873,-9.554,-26.5,16.946
54,02_55,[3+2]cycloaddition,17.331,12.65,4.681,45.29,52.78,-7.490,-27.959,-40.12,12.161
55,02_56,[3+2]cycloaddition,15.73,11.6,4.130,84.691,91.82,-7.129,-68.962,-80.21,11.248
56,02_57,[3+2]cycloaddition,15.774,8.1,7.674,78.836,84.96,-6.124,-63.062,-76.87,13.808
57,02_58,[3+2]cycloaddition,20.359,15.43,4.929,59.974,68.29,-8.316,-39.615,-52.86,13.245
58,02_59,[3+2]cycloaddition,20.415,15.3,5.115,59.275,67.99,-8.715,-38.86,-52.69,13.830
59,02_60,[3+2]cycloaddition,12.454,5.93,6.524,78.78,86.94,-8.160,-66.326,-81.0,14.674
60,02_61,[3+2]cycloaddition,7.511,0.41,7.101,41.488,56.6,-15.112,-33.977,-56.19,22.213
61,02_62,[3+2]cycloaddition,12.314,3.87,8.444,44.672,58.42,-13.748,-32.358,-54.55,22.192
62,02_63,[3+2]cycloaddition,19.027,16.87,2.157,30.896,41.5,-10.604,-11.87,-24.63,12.760
63,02_64,[3+2]cycloaddition,8.054,5.38,2.674,38.189,50.91,-12.721,-30.134,-45.54,15.406
64,02_65,[3+2]cycloaddition,10.431,8.08,2.351,43.219,56.87,-13.651,-32.787,-48.79,16.003
65,02_66,[3+2]cycloaddition,9.892,6.79,3.102,40.433,55.77,-15.337,-30.541,-48.98,18.439
66,02_67,[3+2]cycloaddition,14.287,6.93,7.357,20.129,34.09,-13.961,-5.842,-27.16,21.318
67,02_68,[3+2]cycloaddition,16.92,8.7,8.220,21.243,35.15,-13.907,-4.323,-26.45,22.127
68,02_69,[3+2]cycloaddition,22.082,13.35,8.732,25.999,38.42,-12.421,-3.917,-25.07,21.153
69,02_70,[3+2]cycloaddition,43.912,33.3,10.612,31.919,41.8,-9.881,11.993,-8.51,20.503
70,02_71,[3+2]cycloaddition,44.4,34.78,9.620,30.772,40.16,-9.388,13.628,-5.38,19.008
71,02_72,[3+2]cycloaddition,29.213,26.38,2.833,41.825,51.44,-9.615,-12.612,-25.06,12.448
72,02_73,[3+2]cycloaddition,19.513,10.06,9.453,34.171,45.53,-11.359,-14.658,-35.47,20.812
73,02_74,[3+2]cycloaddition,28.25,27.86,0.390,14.499,26.23,-11.731,13.751,1.63,12.121
74,02_75,[3+2]cycloaddition,20.589,9.79,10.799,30.379,41.83,-11.451,-9.79,-32.04,22.250
75,02_76,[3+2]cycloaddition,20.067,20.35,-0.283,24.196,37.37,-13.174,-4.13,-17.02,12.890
76,02_77,[3+2]cycloaddition,17.049,6.99,10.059,33.99,46.28,-12.290,-16.941,-39.3,22.359
77,02_78,[3+2]cycloaddition,20.624,19.13,1.494,25.626,38.27,-12.644,-5.002,-19.14,14.138
78,02_79,[3+2]cycloaddition,12.086,1.94,10.146,30.338,42.25,-11.912,-18.252,-40.31,22.058
79,02_80,[3+2]cycloaddition,30.077,28.38,1.697,29.375,41.25,-11.875,0.702,-12.87,13.572
80,02_81,[3+2]cycloaddition,22.281,11.14,11.141,30.861,43.06,-12.199,-8.58,-31.92,23.340
81,02_82,Electrocyclic,18.987,10.61,8.377,24.297,37.95,-13.653,-5.31,-27.34,22.030
82,02_83,Electrocyclic,12.005,17.65,-5.645,45.181,44.98,0.201,-33.176,-27.33,-5.846
83,02_84,Electrocyclic,26.602,26.68,-0.078,43.455,50.51,-7.055,-16.852,-23.83,6.978
84,02_85,Electrocyclic,30.561,30.66,-0.099,44.466,51.43,-6.964,-13.905,-20.78,6.875
85,02_86,Electrocyclic,31.975,27.74,4.235,50.351,52.7,-2.349,-18.376,-24.96,6.584
86,02_87,Electrocyclic,33.063,30.73,2.333,49.165,53.65,-4.485,-16.102,-22.91,6.808
87,02_88,Electrocyclic,24.248,24.91,-0.662,45.144,51.36,-6.216,-20.896,-26.45,5.554
88,02_89,Electrocyclic,27.482,28.62,-1.138,46.366,52.88,-6.514,-18.883,-24.26,5.377
89,02_90,Electrocyclic,26.62,27.43,-0.810,45.487,52.17,-6.683,-18.866,-24.74,5.874
90,02_91,Electrocyclic,30.261,31.0,-0.739,48.033,54.55,-6.517,-17.772,-23.55,5.778
91,02_92,Electrocyclic,22.663,23.66,-0.997,48.215,53.48,-5.265,-25.552,-29.82,4.268
92,02_93,Electrocyclic,27.624,28.69,-1.066,50.148,54.95,-4.802,-22.523,-26.26,3.737
93,02_94,Electrocyclic,23.931,25.6,-1.669,48.276,54.46,-6.184,-24.345,-28.86,4.515
94,02_95,Electrocyclic,26.311,28.02,-1.709,49.602,55.88,-6.278,-23.291,-27.86,4.569
95,02_96,Electrocyclic,6.226,11.39,-5.164,15.048,15.19,-0.142,-8.822,-3.8,-5.022
96,02_97,Electrocyclic,39.164,43.52,-4.356,19.352,21.76,-2.408,19.812,21.76,-1.948
97,02_98,Electrocyclic,28.697,33.08,-4.383,48.058,45.42,2.638,-19.36,-12.34,-7.020
98,02_99,Electrocyclic,41.738,44.28,-2.542,58.267,54.35,3.917,-16.529,-10.07,-6.459
99,02_100,Electrocyclic,32.844,36.07,-3.226,19.676,19.79,-0.114,13.168,16.28,-3.112
100,02_101,Electrocyclic,39.64,41.8,-2.160,48.274,45.81,2.464,-8.634,-4.01,-4.624
101,02_102,Electrocyclic,38.925,38.73,0.195,33.023,36.55,-3.527,5.902,2.18,3.722
102,02_103,Electrocyclic,37.642,36.24,1.402,33.683,36.68,-2.997,3.958,-0.44,4.398
103,02_104,Electrocyclic,12.947,13.1,-0.153,36.725,40.49,-3.765,-23.777,-27.39,3.613
104,02_105,Electrocyclic,51.421,48.25,3.171,40.175,42.24,-2.065,11.246,6.01,5.236
105,02_106,[4+6]cycloaddition,26.361,11.53,14.831,14.032,29.79,-15.758,12.329,-18.26,30.589
