      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          3.699          8.100         -4.401|         33.697         43.770        -10.073|        -29.998        -35.660          5.662|
      02_2                   Diels-Alder|          5.025          8.850         -3.825|         33.793         43.490         -9.697|        -28.768        -34.630          5.862|
      02_3                   Diels-Alder|          5.564         11.450         -5.886|         36.620         47.830        -11.210|        -31.055        -36.380          5.325|
      02_4                   Diels-Alder|          3.969         10.150         -6.181|         36.000         47.060        -11.060|        -32.031        -36.920          4.889|
      02_5                   Diels-Alder|         23.743         26.570         -2.827|         93.407         93.720         -0.313|        -69.663        -67.150         -2.513|
      02_6                   Diels-Alder|         23.071         26.770         -3.699|         60.769         62.050         -1.281|        -37.699        -35.270         -2.429|
      02_7                   Diels-Alder|         12.222         19.070         -6.848|         23.510         39.400        -15.890|        -11.287        -20.320          9.033|
      02_8                   Diels-Alder|          8.374         12.200         -3.826|         25.777         36.770        -10.993|        -17.403        -24.570          7.167|
      02_9                   Diels-Alder|         14.012         17.830         -3.818|         38.211         47.850         -9.639|        -24.199        -30.020          5.821|
     02_10                   Diels-Alder|         16.975         19.750         -2.775|         41.559         50.920         -9.361|        -24.584        -31.170          6.586|
     02_11                   Diels-Alder|         20.316         23.080         -2.764|         35.637         45.700        -10.063|        -15.321        -22.620          7.299|
     02_12                   Diels-Alder|         22.012         24.510         -2.498|         35.160         44.870         -9.710|        -13.148        -20.360          7.212|
     02_13                   Diels-Alder|         23.180         24.900         -1.720|         54.935         60.920         -5.985|        -31.754        -36.030          4.276|
     02_14                   Diels-Alder|         20.711         21.970         -1.259|         54.646         60.480         -5.834|        -33.936        -38.510          4.574|
     02_15                   Diels-Alder|         22.554         25.290         -2.736|         52.475         60.680         -8.205|        -29.921        -35.390          5.469|
     02_16                   Diels-Alder|         21.542         23.430         -1.888|         44.997         53.320         -8.323|        -23.455        -29.890          6.435|
     02_17                   Diels-Alder|         13.799         15.270         -1.471|         53.878         59.460         -5.582|        -40.079        -44.180          4.101|
     02_18                   Diels-Alder|         18.936         19.860         -0.924|         65.126         70.400         -5.274|        -46.190        -50.540          4.350|
     02_19                   Diels-Alder|         17.118         22.040         -4.922|         48.043         59.330        -11.287|        -30.925        -37.290          6.365|
     02_20                   Diels-Alder|         16.915         19.100         -2.185|         49.281         56.890         -7.609|        -32.366        -37.790          5.424|
     02_21                   Diels-Alder|         11.394         12.400         -1.006|         56.562         62.140         -5.578|        -45.168        -49.740          4.572|
     02_22                   Diels-Alder|          6.645          8.830         -2.185|         66.513         68.850         -2.337|        -59.868        -60.010          0.142|
     02_23                   Diels-Alder|         23.238         24.810         -1.572|         51.933         57.020         -5.087|        -28.695        -32.210          3.515|
     02_24                   Diels-Alder|         25.442         26.620         -1.178|         70.716         73.950         -3.234|        -45.273        -47.330          2.057|
     02_25                   Diels-Alder|         22.487         23.550         -1.063|         48.477         54.520         -6.043|        -25.990        -30.970          4.980|
     02_26                   Diels-Alder|         27.339         27.830         -0.491|         41.515         47.790         -6.275|        -14.176        -19.960          5.784|
     02_27                   Diels-Alder|         28.633         29.600         -0.967|         43.508         50.220         -6.712|        -14.875        -20.620          5.745|
     02_28                   Diels-Alder|         23.697         21.690          2.007|         30.733         38.320         -7.587|         -7.035        -16.630          9.595|
     02_29                   Diels-Alder|          1.681          1.650          0.031|         31.623         35.570         -3.947|        -29.942        -33.920          3.978|
     02_30                   Diels-Alder|          7.402          7.980         -0.578|         54.422         55.020         -0.598|        -47.020        -47.040          0.020|
     02_31                   Diels-Alder|         15.636         15.120          0.516|         35.195         36.680         -1.485|        -19.559        -21.560          2.001|
     02_32                   Diels-Alder|          6.542          6.610         -0.068|         49.908         54.790         -4.882|        -43.366        -48.180          4.814|
     02_33                   Diels-Alder|         10.370         11.620         -1.250|         43.490         53.250         -9.760|        -33.120        -41.630          8.510|
     02_34                   Diels-Alder|         17.597         18.280         -0.683|         25.493         30.480         -4.987|         -7.896        -12.210          4.314|
     02_35                   Diels-Alder|         15.637         16.530         -0.893|         24.416         29.810         -5.394|         -8.780        -13.280          4.500|
     02_36                   Diels-Alder|         13.359         15.490         -2.131|         28.734         33.650         -4.916|        -15.375        -18.160          2.785|
     02_37                   Diels-Alder|         15.047         17.000         -1.953|         29.862         34.430         -4.568|        -14.815        -17.430          2.615|
     02_38                   Diels-Alder|         18.469         22.730         -4.261|         29.655         36.090         -6.435|        -11.186        -13.360          2.174|
     02_39                   Diels-Alder|         32.144         37.420         -5.276|         30.800         39.320         -8.520|          1.344         -1.900          3.244|
     02_40                   Diels-Alder|         11.819         14.260         -2.441|         19.801         27.770         -7.969|         -7.982        -13.510          5.528|
     02_41                   Diels-Alder|         27.907         28.060         -0.153|         23.080         31.780         -8.700|          4.827         -3.720          8.547|
     02_42                   Diels-Alder|          8.113          8.580         -0.467|         42.176         47.740         -5.564|        -34.063        -39.150          5.087|
     02_43                   Diels-Alder|         16.781         16.350          0.431|         43.729         48.760         -5.031|        -26.949        -32.410          5.461|
     02_44                   Diels-Alder|         15.462         16.640         -1.178|         47.544         53.180         -5.636|        -32.082        -36.540          4.458|
     02_45                   Diels-Alder|         15.530         16.980         -1.450|         56.240         59.460         -3.220|        -40.711        -42.480          1.769|
     02_46                   Diels-Alder|         25.595         26.480         -0.885|         44.430         51.360         -6.930|        -18.835        -24.880          6.045|
     02_47                   Diels-Alder|         -3.216         -1.340         -1.876|         89.522         88.510          1.012|        -92.738        -89.850         -2.888|
     02_48                   Diels-Alder|         -0.245          1.980         -2.225|         84.009         86.440         -2.431|        -84.254        -84.470          0.216|
     02_49                   Diels-Alder|         10.602         13.950         -3.348|         38.544         47.200         -8.656|        -27.942        -33.240          5.298|
     02_50           [3+2]cycloaddition|         18.541         18.440          0.101|         30.434         35.480         -5.046|        -11.892        -17.040          5.148|
     02_51           [3+2]cycloaddition|         -2.947         -1.950         -0.997|         18.117         24.260         -6.143|        -21.064        -26.210          5.146|
     02_52           [3+2]cycloaddition|         12.123         12.390         -0.267|         30.075         36.110         -6.035|        -17.952        -23.720          5.768|
     02_53           [3+2]cycloaddition|         10.251         10.450         -0.199|         29.030         35.890         -6.860|        -18.778        -25.440          6.662|
     02_54           [3+2]cycloaddition|         -0.462         -0.120         -0.342|         21.364         26.380         -5.016|        -21.826        -26.500          4.674|
     02_55           [3+2]cycloaddition|         11.506         12.650         -1.144|         48.086         52.780         -4.694|        -36.580        -40.120          3.540|
     02_56           [3+2]cycloaddition|         10.598         11.600         -1.002|         90.742         91.820         -1.078|        -80.144        -80.210          0.066|
     02_57           [3+2]cycloaddition|          8.254          8.100          0.154|         82.882         84.960         -2.078|        -74.628        -76.870          2.242|
     02_58           [3+2]cycloaddition|         14.794         15.430         -0.636|         64.081         68.290         -4.209|        -49.287        -52.860          3.573|
     02_59           [3+2]cycloaddition|         14.302         15.300         -0.998|         63.308         67.990         -4.682|        -49.006        -52.690          3.684|
     02_60           [3+2]cycloaddition|          4.217          5.930         -1.713|         85.611         86.940         -1.329|        -81.394        -81.000         -0.394|
     02_61           [3+2]cycloaddition|         -1.191          0.410         -1.601|         46.368         56.600        -10.232|        -47.559        -56.190          8.631|
     02_62           [3+2]cycloaddition|          3.162          3.870         -0.708|         49.109         58.420         -9.311|        -45.947        -54.550          8.603|
     02_63           [3+2]cycloaddition|         17.134         16.870          0.264|         34.620         41.500         -6.880|        -17.486        -24.630          7.144|
     02_64           [3+2]cycloaddition|          4.762          5.380         -0.618|         42.403         50.910         -8.507|        -37.641        -45.540          7.899|
     02_65           [3+2]cycloaddition|          7.221          8.080         -0.859|         47.484         56.870         -9.386|        -40.262        -48.790          8.528|
     02_66           [3+2]cycloaddition|          4.872          6.790         -1.918|         46.037         55.770         -9.733|        -41.165        -48.980          7.815|
     02_67           [3+2]cycloaddition|          2.325          6.930         -4.605|         22.656         34.090        -11.434|        -20.331        -27.160          6.829|
     02_68           [3+2]cycloaddition|          4.694          8.700         -4.006|         23.894         35.150        -11.256|        -19.200        -26.450          7.250|
     02_69           [3+2]cycloaddition|          9.634         13.350         -3.716|         27.939         38.420        -10.481|        -18.305        -25.070          6.765|
     02_70           [3+2]cycloaddition|         36.284         33.300          2.984|         36.575         41.800         -5.225|         -0.291         -8.510          8.219|
     02_71           [3+2]cycloaddition|         37.020         34.780          2.240|         33.183         40.160         -6.977|          3.837         -5.380          9.217|
     02_72           [3+2]cycloaddition|         28.258         26.380          1.878|         44.645         51.440         -6.795|        -16.387        -25.060          8.673|
     02_73           [3+2]cycloaddition|          9.265         10.060         -0.795|         37.574         45.530         -7.956|        -28.309        -35.470          7.161|
     02_74           [3+2]cycloaddition|         22.806         27.860         -5.054|         15.970         26.230        -10.260|          6.836          1.630          5.206|
     02_75           [3+2]cycloaddition|          9.001          9.790         -0.789|         33.904         41.830         -7.926|        -24.903        -32.040          7.137|
     02_76           [3+2]cycloaddition|         15.821         20.350         -4.529|         26.238         37.370        -11.132|        -10.417        -17.020          6.603|
     02_77           [3+2]cycloaddition|          5.723          6.990         -1.267|         38.417         46.280         -7.863|        -32.694        -39.300          6.606|
     02_78           [3+2]cycloaddition|         14.958         19.130         -4.172|         27.687         38.270        -10.583|        -12.729        -19.140          6.411|
     02_79           [3+2]cycloaddition|          0.330          1.940         -1.610|         33.851         42.250         -8.399|        -33.520        -40.310          6.790|
     02_80           [3+2]cycloaddition|         24.700         28.380         -3.680|         31.529         41.250         -9.721|         -6.830        -12.870          6.040|
     02_81           [3+2]cycloaddition|         10.654         11.140         -0.486|         34.795         43.060         -8.265|        -24.141        -31.920          7.779|
     02_82                 Electrocyclic|          4.464         10.610         -6.146|         25.437         37.950        -12.513|        -20.973        -27.340          6.367|
     02_83                 Electrocyclic|         13.324         17.650         -4.326|         45.395         44.980          0.415|        -32.071        -27.330         -4.741|
     02_84                 Electrocyclic|         24.985         26.680         -1.695|         46.317         50.510         -4.193|        -21.332        -23.830          2.498|
     02_85                 Electrocyclic|         29.131         30.660         -1.529|         47.604         51.430         -3.826|        -18.473        -20.780          2.307|
     02_86                 Electrocyclic|         25.452         27.740         -2.288|         48.239         52.700         -4.461|        -22.788        -24.960          2.172|
     02_87                 Electrocyclic|         29.161         30.730         -1.569|         50.513         53.650         -3.137|        -21.352        -22.910          1.558|
     02_88                 Electrocyclic|         22.920         24.910         -1.990|         47.296         51.360         -4.064|        -24.376        -26.450          2.074|
     02_89                 Electrocyclic|         26.324         28.620         -2.296|         49.518         52.880         -3.362|        -23.194        -24.260          1.066|
     02_90                 Electrocyclic|         25.347         27.430         -2.083|         48.158         52.170         -4.012|        -22.811        -24.740          1.929|
     02_91                 Electrocyclic|         29.188         31.000         -1.812|         51.208         54.550         -3.342|        -22.019        -23.550          1.531|
     02_92                 Electrocyclic|         20.776         23.660         -2.884|         49.641         53.480         -3.839|        -28.864        -29.820          0.956|
     02_93                 Electrocyclic|         26.801         28.690         -1.889|         51.749         54.950         -3.201|        -24.948        -26.260          1.312|
     02_94                 Electrocyclic|         22.649         25.600         -2.951|         50.585         54.460         -3.875|        -27.936        -28.860          0.924|
     02_95                 Electrocyclic|         25.308         28.020         -2.712|         52.437         55.880         -3.443|        -27.129        -27.860          0.731|
     02_96                 Electrocyclic|          7.717         11.390         -3.673|         16.486         15.190          1.296|         -8.769         -3.800         -4.969|
     02_97                 Electrocyclic|         39.981         43.520         -3.539|         19.486         21.760         -2.274|         20.495         21.760         -1.265|
     02_98                 Electrocyclic|         32.465         33.080         -0.615|         47.633         45.420          2.213|        -15.168        -12.340         -2.828|
     02_99                 Electrocyclic|         44.345         44.280          0.065|         57.000         54.350          2.650|        -12.656        -10.070         -2.586|
    02_100                 Electrocyclic|         36.207         36.070          0.137|         21.152         19.790          1.362|         15.055         16.280         -1.225|
    02_101                 Electrocyclic|         41.387         41.800         -0.413|         45.709         45.810         -0.101|         -4.323         -4.010         -0.313|
    02_102                 Electrocyclic|         39.159         38.730          0.429|         36.390         36.550         -0.160|          2.769          2.180          0.589|
    02_103                 Electrocyclic|         36.065         36.240         -0.175|         36.349         36.680         -0.331|         -0.284         -0.440          0.156|
    02_104                 Electrocyclic|         13.739         13.100          0.639|         40.336         40.490         -0.154|        -26.597        -27.390          0.793|
    02_105                 Electrocyclic|         49.404         48.250          1.154|         42.491         42.240          0.251|          6.913          6.010          0.903|
    02_106           [4+6]cycloaddition|          6.668         11.530         -4.862|         11.765         29.790        -18.025|         -5.097        -18.260         13.163|
    02_107           [6+4]cycloaddition|          6.668         11.530         -4.862|         18.872         36.380        -17.508|        -12.204        -24.850         12.646|
    02_108           [8+2]cycloaddition|          6.668         11.530         -4.862|         16.790         35.010        -18.220|        -10.122        -23.480         13.358|
    02_109           [3,3]rearrangement|         42.252         43.450         -1.198|         49.758         50.580         -0.822|         -7.505         -7.130         -0.375|
