      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|         23.916          8.100         15.816|         46.526         43.770          2.756|        -22.610        -35.660         13.050|
      02_2                   Diels-Alder|         25.287          8.850         16.437|         46.797         43.490          3.307|        -21.511        -34.630         13.119|
      02_3                   Diels-Alder|         27.139         11.450         15.689|         51.661         47.830          3.831|        -24.522        -36.380         11.858|
      02_4                   Diels-Alder|         25.305         10.150         15.155|         50.695         47.060          3.635|        -25.390        -36.920         11.530|
      02_5                   Diels-Alder|         32.452         26.570          5.882|        101.249         93.720          7.529|        -68.798        -67.150         -1.648|
      02_6                   Diels-Alder|         33.440         26.770          6.670|         69.515         62.050          7.465|        -36.075        -35.270         -0.805|
      02_7                   Diels-Alder|         29.966         19.070         10.896|         40.490         39.400          1.090|        -10.524        -20.320          9.796|
      02_8                   Diels-Alder|         19.411         12.200          7.211|         32.693         36.770         -4.077|        -13.282        -24.570         11.288|
      02_9                   Diels-Alder|         29.138         17.830         11.308|         47.081         47.850         -0.769|        -17.944        -30.020         12.076|
     02_10                   Diels-Alder|         33.255         19.750         13.505|         49.837         50.920         -1.083|        -16.582        -31.170         14.588|
     02_11                   Diels-Alder|         38.083         23.080         15.003|         45.755         45.700          0.055|         -7.673        -22.620         14.947|
     02_12                   Diels-Alder|         36.746         24.510         12.236|         44.937         44.870          0.067|         -8.190        -20.360         12.170|
     02_13                   Diels-Alder|         36.149         24.900         11.249|         62.796         60.920          1.876|        -26.647        -36.030          9.383|
     02_14                   Diels-Alder|         34.242         21.970         12.272|         62.666         60.480          2.186|        -28.424        -38.510         10.086|
     02_15                   Diels-Alder|         38.769         25.290         13.479|         61.835         60.680          1.155|        -23.066        -35.390         12.324|
     02_16                   Diels-Alder|         31.863         23.430          8.433|         53.141         53.320         -0.179|        -21.278        -29.890          8.612|
     02_17                   Diels-Alder|         23.133         15.270          7.863|         61.364         59.460          1.904|        -38.231        -44.180          5.949|
     02_18                   Diels-Alder|         27.437         19.860          7.577|         72.647         70.400          2.247|        -45.209        -50.540          5.331|
     02_19                   Diels-Alder|         31.775         22.040          9.735|         61.327         59.330          1.997|        -29.552        -37.290          7.738|
     02_20                   Diels-Alder|         28.839         19.100          9.739|         60.742         56.890          3.852|        -31.903        -37.790          5.887|
     02_21                   Diels-Alder|         18.068         12.400          5.668|         64.568         62.140          2.428|        -46.500        -49.740          3.240|
     02_22                   Diels-Alder|         12.302          8.830          3.472|         72.825         68.850          3.975|        -60.523        -60.010         -0.513|
     02_23                   Diels-Alder|         33.808         24.810          8.998|         59.459         57.020          2.439|        -25.651        -32.210          6.559|
     02_24                   Diels-Alder|         36.445         26.620          9.825|         77.239         73.950          3.289|        -40.794        -47.330          6.536|
     02_25                   Diels-Alder|         33.718         23.550         10.168|         56.906         54.520          2.386|        -23.189        -30.970          7.781|
     02_26                   Diels-Alder|         39.326         27.830         11.496|         49.431         47.790          1.641|        -10.104        -19.960          9.856|
     02_27                   Diels-Alder|         41.043         29.600         11.443|         51.598         50.220          1.378|        -10.554        -20.620         10.066|
     02_28                   Diels-Alder|         30.620         21.690          8.930|         38.258         38.320         -0.062|         -7.638        -16.630          8.992|
     02_29                   Diels-Alder|         18.427          1.650         16.777|         35.303         35.570         -0.267|        -16.875        -33.920         17.045|
     02_30                   Diels-Alder|         23.770          7.980         15.790|         51.993         55.020         -3.027|        -28.222        -47.040         18.818|
     02_31                   Diels-Alder|         33.709         15.120         18.589|         30.499         36.680         -6.181|          3.210        -21.560         24.770|
     02_32                   Diels-Alder|         22.135          6.610         15.525|         51.965         54.790         -2.825|        -29.830        -48.180         18.350|
     02_33                   Diels-Alder|         19.490         11.620          7.870|         55.188         53.250          1.938|        -35.698        -41.630          5.932|
     02_34                   Diels-Alder|         24.160         18.280          5.880|         29.689         30.480         -0.791|         -5.529        -12.210          6.681|
     02_35                   Diels-Alder|         21.714         16.530          5.184|         29.046         29.810         -0.764|         -7.332        -13.280          5.948|
     02_36                   Diels-Alder|         19.330         15.490          3.840|         32.696         33.650         -0.954|        -13.365        -18.160          4.795|
     02_37                   Diels-Alder|         21.250         17.000          4.250|         32.746         34.430         -1.684|        -11.496        -17.430          5.934|
     02_38                   Diels-Alder|         33.798         22.730         11.068|         39.253         36.090          3.163|         -5.456        -13.360          7.904|
     02_39                   Diels-Alder|         47.953         37.420         10.533|         41.915         39.320          2.595|          6.038         -1.900          7.938|
