,Name,Type,blyp-DFT-forward,REF-forward,blyp-DELTA-forward,blyp-DFT-reverse,REF-reverse,blyp-DELTA-reverse,blyp-DFT-reaction,REF-reaction,blyp-DELTA-reaction
0,02_1,Diels-Alder,21.308,8.1,13.208,23.92,43.77,-19.850,-2.611,-35.66,33.049
1,02_2,Diels-Alder,22.959,8.85,14.109,24.453,43.49,-19.037,-1.494,-34.63,33.136
2,02_3,Diels-Alder,22.997,11.45,11.547,29.21,47.83,-18.620,-6.213,-36.38,30.167
3,02_4,Diels-Alder,21.262,10.15,11.112,28.922,47.06,-18.138,-7.66,-36.92,29.260
4,02_5,Diels-Alder,22.428,26.57,-4.142,80.466,93.72,-13.254,-58.038,-67.15,9.112
5,02_6,Diels-Alder,23.344,26.77,-3.426,49.316,62.05,-12.734,-25.972,-35.27,9.298
6,02_7,Diels-Alder,21.515,19.07,2.445,16.011,39.4,-23.389,5.504,-20.32,25.824
7,02_8,Diels-Alder,14.912,12.2,2.712,13.619,36.77,-23.151,1.294,-24.57,25.864
8,02_9,Diels-Alder,23.142,17.83,5.312,24.237,47.85,-23.613,-1.096,-30.02,28.924
9,02_10,Diels-Alder,28.895,19.75,9.145,26.789,50.92,-24.131,2.106,-31.17,33.276
10,02_11,Diels-Alder,33.896,23.08,10.816,23.703,45.7,-21.997,10.193,-22.62,32.813
11,02_12,Diels-Alder,31.712,24.51,7.202,23.376,44.87,-21.494,8.336,-20.36,28.696
12,02_13,Diels-Alder,30.856,24.9,5.956,41.21,60.92,-19.710,-10.355,-36.03,25.675
13,02_14,Diels-Alder,29.473,21.97,7.503,40.848,60.48,-19.632,-11.375,-38.51,27.135
14,02_15,Diels-Alder,33.9,25.29,8.610,38.49,60.68,-22.190,-4.59,-35.39,30.800
15,02_16,Diels-Alder,26.205,23.43,2.775,31.335,53.32,-21.985,-5.13,-29.89,24.760
16,02_17,Diels-Alder,17.526,15.27,2.256,40.008,59.46,-19.452,-22.481,-44.18,21.699
17,02_18,Diels-Alder,20.812,19.86,0.952,49.61,70.4,-20.790,-28.798,-50.54,21.742
18,02_19,Diels-Alder,23.849,22.04,1.809,37.274,59.33,-22.056,-13.426,-37.29,23.864
19,02_20,Diels-Alder,21.777,19.1,2.677,38.059,56.89,-18.831,-16.282,-37.79,21.508
20,02_21,Diels-Alder,12.845,12.4,0.445,42.942,62.14,-19.198,-30.097,-49.74,19.643
21,02_22,Diels-Alder,6.422,8.83,-2.408,53.884,68.85,-14.966,-47.462,-60.01,12.548
22,02_23,Diels-Alder,27.906,24.81,3.096,39.973,57.02,-17.047,-12.068,-32.21,20.142
23,02_24,Diels-Alder,29.369,26.62,2.749,56.109,73.95,-17.841,-26.74,-47.33,20.590
24,02_25,Diels-Alder,27.763,23.55,4.213,37.265,54.52,-17.255,-9.502,-30.97,21.468
25,02_26,Diels-Alder,33.749,27.83,5.919,30.206,47.79,-17.584,3.543,-19.96,23.503
26,02_27,Diels-Alder,35.227,29.6,5.627,31.213,50.22,-19.007,4.013,-20.62,24.633
27,02_28,Diels-Alder,26.854,21.69,5.164,19.439,38.32,-18.881,7.414,-16.63,24.044
28,02_29,Diels-Alder,15.626,1.65,13.976,21.754,35.57,-13.816,-6.128,-33.92,27.792
29,02_30,Diels-Alder,18.67,7.98,10.690,41.696,55.02,-13.324,-23.026,-47.04,24.014
30,02_31,Diels-Alder,28.918,15.12,13.798,21.927,36.68,-14.753,6.991,-21.56,28.551
31,02_32,Diels-Alder,17.893,6.61,11.283,37.488,54.79,-17.302,-19.594,-48.18,28.586
32,02_33,Diels-Alder,13.942,11.62,2.322,30.209,53.25,-23.041,-16.267,-41.63,25.363
33,02_34,Diels-Alder,21.065,18.28,2.785,16.753,30.48,-13.727,4.312,-12.21,16.522
34,02_35,Diels-Alder,18.402,16.53,1.872,16.284,29.81,-13.526,2.119,-13.28,15.399
35,02_36,Diels-Alder,15.067,15.49,-0.423,19.598,33.65,-14.052,-4.531,-18.16,13.629
36,02_37,Diels-Alder,17.169,17.0,0.169,19.191,34.43,-15.239,-2.022,-17.43,15.408
37,02_38,Diels-Alder,22.771,22.73,0.041,18.946,36.09,-17.144,3.825,-13.36,17.185
38,02_39,Diels-Alder,35.515,37.42,-1.905,21.241,39.32,-18.079,14.275,-1.9,16.175
39,02_40,Diels-Alder,30.553,14.26,16.293,8.493,27.77,-19.277,22.06,-13.51,35.570
40,02_41,Diels-Alder,43.57,28.06,15.510,11.363,31.78,-20.417,32.207,-3.72,35.927
41,02_42,Diels-Alder,20.425,8.58,11.845,32.903,47.74,-14.837,-12.478,-39.15,26.672
42,02_43,Diels-Alder,26.628,16.35,10.278,32.389,48.76,-16.371,-5.761,-32.41,26.649
43,02_44,Diels-Alder,24.183,16.64,7.543,34.748,53.18,-18.432,-10.565,-36.54,25.975
44,02_45,Diels-Alder,22.879,16.98,5.899,44.149,59.46,-15.311,-21.27,-42.48,21.210
45,02_46,Diels-Alder,33.718,26.48,7.238,31.6,51.36,-19.760,2.119,-24.88,26.999
46,02_47,Diels-Alder,4.71,-1.34,6.050,72.768,88.51,-15.742,-68.058,-89.85,21.792
47,02_48,Diels-Alder,9.344,1.98,7.364,66.518,86.44,-19.922,-57.175,-84.47,27.295
48,02_49,Diels-Alder,26.559,13.95,12.609,28.489,47.2,-18.711,-1.929,-33.24,31.311
