      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|         21.308          8.100         13.208|         23.920         43.770        -19.850|         -2.611        -35.660         33.049|
      02_2                   Diels-Alder|         22.959          8.850         14.109|         24.453         43.490        -19.037|         -1.494        -34.630         33.136|
      02_3                   Diels-Alder|         22.997         11.450         11.547|         29.210         47.830        -18.620|         -6.213        -36.380         30.167|
      02_4                   Diels-Alder|         21.262         10.150         11.112|         28.922         47.060        -18.138|         -7.660        -36.920         29.260|
      02_5                   Diels-Alder|         22.428         26.570         -4.142|         80.466         93.720        -13.254|        -58.038        -67.150          9.112|
      02_6                   Diels-Alder|         23.344         26.770         -3.426|         49.316         62.050        -12.734|        -25.972        -35.270          9.298|
      02_7                   Diels-Alder|         21.515         19.070          2.445|         16.011         39.400        -23.389|          5.504        -20.320         25.824|
      02_8                   Diels-Alder|         14.912         12.200          2.712|         13.619         36.770        -23.151|          1.294        -24.570         25.864|
      02_9                   Diels-Alder|         23.142         17.830          5.312|         24.237         47.850        -23.613|         -1.096        -30.020         28.924|
     02_10                   Diels-Alder|         28.895         19.750          9.145|         26.789         50.920        -24.131|          2.106        -31.170         33.276|
     02_11                   Diels-Alder|         33.896         23.080         10.816|         23.703         45.700        -21.997|         10.193        -22.620         32.813|
     02_12                   Diels-Alder|         31.712         24.510          7.202|         23.376         44.870        -21.494|          8.336        -20.360         28.696|
     02_13                   Diels-Alder|         30.856         24.900          5.956|         41.210         60.920        -19.710|        -10.355        -36.030         25.675|
     02_14                   Diels-Alder|         29.473         21.970          7.503|         40.848         60.480        -19.632|        -11.375        -38.510         27.135|
     02_15                   Diels-Alder|         33.900         25.290          8.610|         38.490         60.680        -22.190|         -4.590        -35.390         30.800|
     02_16                   Diels-Alder|         26.205         23.430          2.775|         31.335         53.320        -21.985|         -5.130        -29.890         24.760|
     02_17                   Diels-Alder|         17.526         15.270          2.256|         40.008         59.460        -19.452|        -22.481        -44.180         21.699|
     02_18                   Diels-Alder|         20.812         19.860          0.952|         49.610         70.400        -20.790|        -28.798        -50.540         21.742|
     02_19                   Diels-Alder|         23.849         22.040          1.809|         37.274         59.330        -22.056|        -13.426        -37.290         23.864|
     02_20                   Diels-Alder|         21.777         19.100          2.677|         38.059         56.890        -18.831|        -16.282        -37.790         21.508|
     02_21                   Diels-Alder|         12.845         12.400          0.445|         42.942         62.140        -19.198|        -30.097        -49.740         19.643|
     02_22                   Diels-Alder|          6.422          8.830         -2.408|         53.884         68.850        -14.966|        -47.462        -60.010         12.548|
     02_23                   Diels-Alder|         27.906         24.810          3.096|         39.973         57.020        -17.047|        -12.068        -32.210         20.142|
     02_24                   Diels-Alder|         29.369         26.620          2.749|         56.109         73.950        -17.841|        -26.740        -47.330         20.590|
     02_25                   Diels-Alder|         27.763         23.550          4.213|         37.265         54.520        -17.255|         -9.502        -30.970         21.468|
     02_26                   Diels-Alder|         33.749         27.830          5.919|         30.206         47.790        -17.584|          3.543        -19.960         23.503|
     02_27                   Diels-Alder|         35.227         29.600          5.627|         31.213         50.220        -19.007|          4.013        -20.620         24.633|
     02_28                   Diels-Alder|         26.854         21.690          5.164|         19.439         38.320        -18.881|          7.414        -16.630         24.044|
     02_29                   Diels-Alder|         15.626          1.650         13.976|         21.754         35.570        -13.816|         -6.128        -33.920         27.792|
     02_30                   Diels-Alder|         18.670          7.980         10.690|         41.696         55.020        -13.324|        -23.026        -47.040         24.014|
     02_31                   Diels-Alder|         28.918         15.120         13.798|         21.927         36.680        -14.753|          6.991        -21.560         28.551|
     02_32                   Diels-Alder|         17.893          6.610         11.283|         37.488         54.790        -17.302|        -19.594        -48.180         28.586|
     02_33                   Diels-Alder|         13.942         11.620          2.322|         30.209         53.250        -23.041|        -16.267        -41.630         25.363|
     02_34                   Diels-Alder|         21.065         18.280          2.785|         16.753         30.480        -13.727|          4.312        -12.210         16.522|
