,Name,Type,cam-b3lyp-DFT-forward,REF-forward,cam-b3lyp-DELTA-forward,cam-b3lyp-DFT-reverse,REF-reverse,cam-b3lyp-DELTA-reverse,cam-b3lyp-DFT-reaction,REF-reaction,cam-b3lyp-DELTA-reaction
0,02_1,Diels-Alder,19.416,8.1,11.316,43.705,43.77,-0.065,-24.289,-35.66,11.371
1,02_2,Diels-Alder,20.709,8.85,11.859,43.84,43.49,0.350,-23.13,-34.63,11.500
2,02_3,Diels-Alder,22.552,11.45,11.102,48.761,47.83,0.931,-26.208,-36.38,10.172
3,02_4,Diels-Alder,20.749,10.15,10.599,47.992,47.06,0.932,-27.243,-36.92,9.677
4,02_5,Diels-Alder,28.789,26.57,2.219,96.819,93.72,3.099,-68.029,-67.15,-0.879
5,02_6,Diels-Alder,29.765,26.77,2.995,65.348,62.05,3.298,-35.583,-35.27,-0.313
6,02_7,Diels-Alder,26.466,19.07,7.396,39.266,39.4,-0.134,-12.8,-20.32,7.520
7,02_8,Diels-Alder,16.793,12.2,4.593,32.345,36.77,-4.425,-15.552,-24.57,9.018
8,02_9,Diels-Alder,25.355,17.83,7.525,45.504,47.85,-2.346,-20.149,-30.02,9.871
9,02_10,Diels-Alder,29.184,19.75,9.434,48.347,50.92,-2.573,-19.163,-31.17,12.007
10,02_11,Diels-Alder,33.474,23.08,10.394,43.902,45.7,-1.798,-10.427,-22.62,12.193
11,02_12,Diels-Alder,32.509,24.51,7.999,43.318,44.87,-1.552,-10.809,-20.36,9.551
12,02_13,Diels-Alder,32.119,24.9,7.219,60.217,60.92,-0.703,-28.097,-36.03,7.933
13,02_14,Diels-Alder,30.139,21.97,8.169,60.111,60.48,-0.369,-29.972,-38.51,8.538
14,02_15,Diels-Alder,34.259,25.29,8.969,59.048,60.68,-1.632,-24.789,-35.39,10.601
15,02_16,Diels-Alder,28.768,23.43,5.338,51.291,53.32,-2.029,-22.523,-29.89,7.367
16,02_17,Diels-Alder,20.084,15.27,4.814,58.754,59.46,-0.706,-38.67,-44.18,5.510
17,02_18,Diels-Alder,24.219,19.86,4.359,69.399,70.4,-1.001,-45.18,-50.54,5.360
18,02_19,Diels-Alder,28.776,22.04,6.736,59.177,59.33,-0.153,-30.401,-37.29,6.889
19,02_20,Diels-Alder,25.664,19.1,6.564,58.38,56.89,1.490,-32.716,-37.79,5.074
20,02_21,Diels-Alder,15.722,12.4,3.322,61.625,62.14,-0.515,-45.904,-49.74,3.836
21,02_22,Diels-Alder,10.001,8.83,1.171,69.627,68.85,0.777,-59.626,-60.01,0.384
