,Name,Type,m06-DFT-forward,REF-forward,m06-DELTA-forward,m06-DFT-reverse,REF-reverse,m06-DELTA-reverse,m06-DFT-reaction,REF-reaction,m06-DELTA-reaction
0,02_1,Diels-Alder,8.107,8.1,0.007,37.402,43.77,-6.368,-29.295,-35.66,6.365
1,02_2,Diels-Alder,9.573,8.85,0.723,37.63,43.49,-5.860,-28.057,-34.63,6.573
2,02_3,Diels-Alder,9.615,11.45,-1.835,41.314,47.83,-6.516,-31.7,-36.38,4.680
3,02_4,Diels-Alder,8.025,10.15,-2.125,40.331,47.06,-6.729,-32.305,-36.92,4.615
4,02_5,Diels-Alder,26.078,26.57,-0.492,90.275,93.72,-3.445,-64.197,-67.15,2.953
5,02_6,Diels-Alder,27.784,26.77,1.014,60.644,62.05,-1.406,-32.86,-35.27,2.410
6,02_7,Diels-Alder,14.733,19.07,-4.337,29.184,39.4,-10.216,-14.451,-20.32,5.869
7,02_8,Diels-Alder,11.64,12.2,-0.560,29.992,36.77,-6.778,-18.352,-24.57,6.218
8,02_9,Diels-Alder,16.901,17.83,-0.929,42.565,47.85,-5.285,-25.664,-30.02,4.356
9,02_10,Diels-Alder,19.209,19.75,-0.541,45.148,50.92,-5.772,-25.939,-31.17,5.231
10,02_11,Diels-Alder,23.373,23.08,0.293,40.739,45.7,-4.961,-17.366,-22.62,5.254
11,02_12,Diels-Alder,24.008,24.51,-0.502,40.225,44.87,-4.645,-16.217,-20.36,4.143
12,02_13,Diels-Alder,25.3,24.9,0.400,58.025,60.92,-2.895,-32.725,-36.03,3.305
13,02_14,Diels-Alder,23.773,21.97,1.803,57.813,60.48,-2.667,-34.04,-38.51,4.470
14,02_15,Diels-Alder,24.186,25.29,-1.104,55.45,60.68,-5.230,-31.265,-35.39,4.125
15,02_16,Diels-Alder,23.904,23.43,0.474,48.208,53.32,-5.112,-24.304,-29.89,5.586
16,02_17,Diels-Alder,16.285,15.27,1.015,55.772,59.46,-3.688,-39.487,-44.18,4.693
17,02_18,Diels-Alder,21.441,19.86,1.581,67.434,70.4,-2.966,-45.994,-50.54,4.546
18,02_19,Diels-Alder,21.698,22.04,-0.342,52.273,59.33,-7.057,-30.575,-37.29,6.715
19,02_20,Diels-Alder,20.356,19.1,1.256,52.769,56.89,-4.121,-32.414,-37.79,5.376
20,02_21,Diels-Alder,13.931,12.4,1.531,59.241,62.14,-2.899,-45.31,-49.74,4.430
21,02_22,Diels-Alder,10.831,8.83,2.001,64.87,68.85,-3.980,-54.039,-60.01,5.971
22,02_23,Diels-Alder,26.048,24.81,1.238,54.395,57.02,-2.625,-28.347,-32.21,3.863
23,02_24,Diels-Alder,28.649,26.62,2.029,69.459,73.95,-4.491,-40.81,-47.33,6.520
24,02_25,Diels-Alder,25.033,23.55,1.483,51.88,54.52,-2.640,-26.847,-30.97,4.123
25,02_26,Diels-Alder,29.008,27.83,1.178,44.522,47.79,-3.268,-15.514,-19.96,4.446
26,02_27,Diels-Alder,30.4,29.6,0.800,46.898,50.22,-3.322,-16.498,-20.62,4.122
27,02_28,Diels-Alder,24.802,21.69,3.112,33.06,38.32,-5.260,-8.258,-16.63,8.372
28,02_29,Diels-Alder,4.322,1.65,2.672,32.535,35.57,-3.035,-28.213,-33.92,5.707
29,02_30,Diels-Alder,12.678,7.98,4.698,52.559,55.02,-2.461,-39.881,-47.04,7.159
30,02_31,Diels-Alder,20.153,15.12,5.033,32.984,36.68,-3.696,-12.831,-21.56,8.729
31,02_32,Diels-Alder,10.824,6.61,4.214,49.243,54.79,-5.547,-38.419,-48.18,9.761
32,02_33,Diels-Alder,13.946,11.62,2.326,46.904,53.25,-6.346,-32.959,-41.63,8.671
33,02_34,Diels-Alder,17.772,18.28,-0.508,28.651,30.48,-1.829,-10.879,-12.21,1.331
34,02_35,Diels-Alder,15.891,16.53,-0.639,27.573,29.81,-2.237,-11.681,-13.28,1.599
35,02_36,Diels-Alder,14.165,15.49,-1.325,31.594,33.65,-2.056,-17.429,-18.16,0.731
36,02_37,Diels-Alder,15.898,17.0,-1.102,32.738,34.43,-1.692,-16.84,-17.43,0.590
37,02_38,Diels-Alder,24.184,22.73,1.454,31.075,36.09,-5.015,-6.891,-13.36,6.469
38,02_39,Diels-Alder,36.504,37.42,-0.916,32.073,39.32,-7.247,4.432,-1.9,6.332
39,02_40,Diels-Alder,16.156,14.26,1.896,22.575,27.77,-5.195,-6.418,-13.51,7.092
40,02_41,Diels-Alder,31.275,28.06,3.215,25.912,31.78,-5.868,5.363,-3.72,9.083
41,02_42,Diels-Alder,11.009,8.58,2.429,45.928,47.74,-1.812,-34.918,-39.15,4.232
42,02_43,Diels-Alder,19.016,16.35,2.666,46.976,48.76,-1.784,-27.96,-32.41,4.450
43,02_44,Diels-Alder,17.921,16.64,1.281,50.158,53.18,-3.022,-32.237,-36.54,4.303
44,02_45,Diels-Alder,17.786,16.98,0.806,58.727,59.46,-0.733,-40.94,-42.48,1.540
45,02_46,Diels-Alder,27.075,26.48,0.595,47.269,51.36,-4.091,-20.194,-24.88,4.686
46,02_47,Diels-Alder,-1.212,-1.34,0.128,84.942,88.51,-3.568,-86.154,-89.85,3.696
47,02_48,Diels-Alder,3.234,1.98,1.254,81.341,86.44,-5.099,-78.106,-84.47,6.364
48,02_49,Diels-Alder,14.482,13.95,0.532,42.878,47.2,-4.322,-28.396,-33.24,4.844
49,02_50,[3+2]cycloaddition,21.34,18.44,2.900,33.579,35.48,-1.901,-12.239,-17.04,4.801
50,02_51,[3+2]cycloaddition,1.339,-1.95,3.289,22.306,24.26,-1.954,-20.967,-26.21,5.243
51,02_52,[3+2]cycloaddition,14.151,12.39,1.761,33.67,36.11,-2.440,-19.519,-23.72,4.201
52,02_53,[3+2]cycloaddition,13.253,10.45,2.803,33.258,35.89,-2.632,-20.005,-25.44,5.435
53,02_54,[3+2]cycloaddition,3.885,-0.12,4.005,24.045,26.38,-2.335,-20.16,-26.5,6.340
54,02_55,[3+2]cycloaddition,16.591,12.65,3.941,49.163,52.78,-3.617,-32.572,-40.12,7.548
55,02_56,[3+2]cycloaddition,15.628,11.6,4.028,87.314,91.82,-4.506,-71.686,-80.21,8.524
56,02_57,[3+2]cycloaddition,13.685,8.1,5.585,80.947,84.96,-4.013,-67.261,-76.87,9.609
57,02_58,[3+2]cycloaddition,19.787,15.43,4.357,62.564,68.29,-5.726,-42.777,-52.86,10.083
58,02_59,[3+2]cycloaddition,19.159,15.3,3.859,61.926,67.99,-6.064,-42.767,-52.69,9.923
59,02_60,[3+2]cycloaddition,8.612,5.93,2.682,82.556,86.94,-4.384,-73.944,-81.0,7.056
60,02_61,[3+2]cycloaddition,1.766,0.41,1.356,46.885,56.6,-9.715,-45.118,-56.19,11.072
61,02_62,[3+2]cycloaddition,6.481,3.87,2.611,50.393,58.42,-8.027,-43.912,-54.55,10.638
62,02_63,[3+2]cycloaddition,19.202,16.87,2.332,34.961,41.5,-6.539,-15.759,-24.63,8.871
63,02_64,[3+2]cycloaddition,7.713,5.38,2.333,43.467,50.91,-7.443,-35.754,-45.54,9.786
64,02_65,[3+2]cycloaddition,9.882,8.08,1.802,48.162,56.87,-8.708,-38.28,-48.79,10.510
65,02_66,[3+2]cycloaddition,7.785,6.79,0.995,46.123,55.77,-9.647,-38.338,-48.98,10.642
66,02_67,[3+2]cycloaddition,10.441,6.93,3.511,25.626,34.09,-8.464,-15.185,-27.16,11.975
67,02_68,[3+2]cycloaddition,11.902,8.7,3.202,26.56,35.15,-8.590,-14.658,-26.45,11.792
