      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          8.107          8.100          0.007|         37.402         43.770         -6.368|        -29.295        -35.660          6.365|
      02_2                   Diels-Alder|          9.573          8.850          0.723|         37.630         43.490         -5.860|        -28.057        -34.630          6.573|
      02_3                   Diels-Alder|          9.615         11.450         -1.835|         41.314         47.830         -6.516|        -31.700        -36.380          4.680|
      02_4                   Diels-Alder|          8.025         10.150         -2.125|         40.331         47.060         -6.729|        -32.305        -36.920          4.615|
      02_5                   Diels-Alder|         26.078         26.570         -0.492|         90.275         93.720         -3.445|        -64.197        -67.150          2.953|
      02_6                   Diels-Alder|         27.784         26.770          1.014|         60.644         62.050         -1.406|        -32.860        -35.270          2.410|
      02_7                   Diels-Alder|         14.733         19.070         -4.337|         29.184         39.400        -10.216|        -14.451        -20.320          5.869|
      02_8                   Diels-Alder|         11.640         12.200         -0.560|         29.992         36.770         -6.778|        -18.352        -24.570          6.218|
      02_9                   Diels-Alder|         16.901         17.830         -0.929|         42.565         47.850         -5.285|        -25.664        -30.020          4.356|
     02_10                   Diels-Alder|         19.209         19.750         -0.541|         45.148         50.920         -5.772|        -25.939        -31.170          5.231|
     02_11                   Diels-Alder|         23.373         23.080          0.293|         40.739         45.700         -4.961|        -17.366        -22.620          5.254|
     02_12                   Diels-Alder|         24.008         24.510         -0.502|         40.225         44.870         -4.645|        -16.217        -20.360          4.143|
     02_13                   Diels-Alder|         25.300         24.900          0.400|         58.025         60.920         -2.895|        -32.725        -36.030          3.305|
     02_14                   Diels-Alder|         23.773         21.970          1.803|         57.813         60.480         -2.667|        -34.040        -38.510          4.470|
     02_15                   Diels-Alder|         24.186         25.290         -1.104|         55.450         60.680         -5.230|        -31.265        -35.390          4.125|
     02_16                   Diels-Alder|         23.904         23.430          0.474|         48.208         53.320         -5.112|        -24.304        -29.890          5.586|
     02_17                   Diels-Alder|         16.285         15.270          1.015|         55.772         59.460         -3.688|        -39.487        -44.180          4.693|
     02_18                   Diels-Alder|         21.441         19.860          1.581|         67.434         70.400         -2.966|        -45.994        -50.540          4.546|
     02_19                   Diels-Alder|         21.698         22.040         -0.342|         52.273         59.330         -7.057|        -30.575        -37.290          6.715|
     02_20                   Diels-Alder|         20.356         19.100          1.256|         52.769         56.890         -4.121|        -32.414        -37.790          5.376|
     02_21                   Diels-Alder|         13.931         12.400          1.531|         59.241         62.140         -2.899|        -45.310        -49.740          4.430|
     02_22                   Diels-Alder|         10.831          8.830          2.001|         64.870         68.850         -3.980|        -54.039        -60.010          5.971|
     02_23                   Diels-Alder|         26.048         24.810          1.238|         54.395         57.020         -2.625|        -28.347        -32.210          3.863|
     02_24                   Diels-Alder|         28.649         26.620          2.029|         69.459         73.950         -4.491|        -40.810        -47.330          6.520|
     02_25                   Diels-Alder|         25.033         23.550          1.483|         51.880         54.520         -2.640|        -26.847        -30.970          4.123|
     02_26                   Diels-Alder|         29.008         27.830          1.178|         44.522         47.790         -3.268|        -15.514        -19.960          4.446|
     02_27                   Diels-Alder|         30.400         29.600          0.800|         46.898         50.220         -3.322|        -16.498        -20.620          4.122|
     02_28                   Diels-Alder|         24.802         21.690          3.112|         33.060         38.320         -5.260|         -8.258        -16.630          8.372|
     02_29                   Diels-Alder|          4.322          1.650          2.672|         32.535         35.570         -3.035|        -28.213        -33.920          5.707|
     02_30                   Diels-Alder|         12.678          7.980          4.698|         52.559         55.020         -2.461|        -39.881        -47.040          7.159|
     02_31                   Diels-Alder|         20.153         15.120          5.033|         32.984         36.680         -3.696|        -12.831        -21.560          8.729|
     02_32                   Diels-Alder|         10.824          6.610          4.214|         49.243         54.790         -5.547|        -38.419        -48.180          9.761|
     02_33                   Diels-Alder|         13.946         11.620          2.326|         46.904         53.250         -6.346|        -32.959        -41.630          8.671|
     02_34                   Diels-Alder|         17.772         18.280         -0.508|         28.651         30.480         -1.829|        -10.879        -12.210          1.331|
     02_35                   Diels-Alder|         15.891         16.530         -0.639|         27.573         29.810         -2.237|        -11.681        -13.280          1.599|
     02_36                   Diels-Alder|         14.165         15.490         -1.325|         31.594         33.650         -2.056|        -17.429        -18.160          0.731|
     02_37                   Diels-Alder|         15.898         17.000         -1.102|         32.738         34.430         -1.692|        -16.840        -17.430          0.590|
     02_38                   Diels-Alder|         24.184         22.730          1.454|         31.075         36.090         -5.015|         -6.891        -13.360          6.469|
     02_39                   Diels-Alder|         36.504         37.420         -0.916|         32.073         39.320         -7.247|          4.432         -1.900          6.332|
     02_40                   Diels-Alder|         16.156         14.260          1.896|         22.575         27.770         -5.195|         -6.418        -13.510          7.092|
     02_41                   Diels-Alder|         31.275         28.060          3.215|         25.912         31.780         -5.868|          5.363         -3.720          9.083|
     02_42                   Diels-Alder|         11.009          8.580          2.429|         45.928         47.740         -1.812|        -34.918        -39.150          4.232|
     02_43                   Diels-Alder|         19.016         16.350          2.666|         46.976         48.760         -1.784|        -27.960        -32.410          4.450|
     02_44                   Diels-Alder|         17.921         16.640          1.281|         50.158         53.180         -3.022|        -32.237        -36.540          4.303|
     02_45                   Diels-Alder|         17.786         16.980          0.806|         58.727         59.460         -0.733|        -40.940        -42.480          1.540|
     02_46                   Diels-Alder|         27.075         26.480          0.595|         47.269         51.360         -4.091|        -20.194        -24.880          4.686|
     02_47                   Diels-Alder|         -1.212         -1.340          0.128|         84.942         88.510         -3.568|        -86.154        -89.850          3.696|
