      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          4.298          8.100         -3.802|         43.885         43.770          0.115|        -39.588        -35.660         -3.928|
      02_2                   Diels-Alder|          5.244          8.850         -3.606|         43.660         43.490          0.170|        -38.415        -34.630         -3.785|
      02_3                   Diels-Alder|          7.323         11.450         -4.127|         48.941         47.830          1.111|        -41.618        -36.380         -5.238|
      02_4                   Diels-Alder|          5.865         10.150         -4.285|         48.372         47.060          1.312|        -42.507        -36.920         -5.587|
      02_5                   Diels-Alder|         22.351         26.570         -4.219|        100.932         93.720          7.212|        -78.581        -67.150        -11.431|
      02_6                   Diels-Alder|         22.230         26.770         -4.540|         66.950         62.050          4.900|        -44.720        -35.270         -9.450|
      02_7                   Diels-Alder|         13.471         19.070         -5.599|         38.778         39.400         -0.622|        -25.307        -20.320         -4.987|
      02_8                   Diels-Alder|          6.628         12.200         -5.572|         36.787         36.770          0.017|        -30.158        -24.570         -5.588|
      02_9                   Diels-Alder|         13.136         17.830         -4.694|         48.480         47.850          0.630|        -35.344        -30.020         -5.324|
     02_10                   Diels-Alder|         16.109         19.750         -3.641|         51.774         50.920          0.854|        -35.665        -31.170         -4.495|
     02_11                   Diels-Alder|         19.544         23.080         -3.536|         46.021         45.700          0.321|        -26.476        -22.620         -3.856|
     02_12                   Diels-Alder|         20.104         24.510         -4.406|         45.135         44.870          0.265|        -25.031        -20.360         -4.671|
     02_13                   Diels-Alder|         20.707         24.900         -4.193|         63.180         60.920          2.260|        -42.473        -36.030         -6.443|
     02_14                   Diels-Alder|         18.293         21.970         -3.677|         62.674         60.480          2.194|        -44.381        -38.510         -5.871|
     02_15                   Diels-Alder|         21.304         25.290         -3.986|         62.562         60.680          1.882|        -41.258        -35.390         -5.868|
     02_16                   Diels-Alder|         18.276         23.430         -5.154|         54.658         53.320          1.338|        -36.382        -29.890         -6.492|
     02_17                   Diels-Alder|         10.074         15.270         -5.196|         62.309         59.460          2.849|        -52.235        -44.180         -8.055|
     02_18                   Diels-Alder|         15.227         19.860         -4.633|         73.443         70.400          3.043|        -58.217        -50.540         -7.677|
     02_19                   Diels-Alder|         16.476         22.040         -5.564|         60.543         59.330          1.213|        -44.067        -37.290         -6.777|
     02_20                   Diels-Alder|         13.912         19.100         -5.188|         59.454         56.890          2.564|        -45.542        -37.790         -7.752|
     02_21                   Diels-Alder|          7.078         12.400         -5.322|         64.915         62.140          2.775|        -57.837        -49.740         -8.097|
     02_22                   Diels-Alder|          3.748          8.830         -5.082|         71.945         68.850          3.095|        -68.197        -60.010         -8.187|
     02_23                   Diels-Alder|         19.764         24.810         -5.046|         59.277         57.020          2.257|        -39.514        -32.210         -7.304|
     02_24                   Diels-Alder|         23.254         26.620         -3.366|         76.815         73.950          2.865|        -53.561        -47.330         -6.231|
     02_25                   Diels-Alder|         18.926         23.550         -4.624|         56.043         54.520          1.523|        -37.117        -30.970         -6.147|
     02_26                   Diels-Alder|         23.593         27.830         -4.237|         49.235         47.790          1.445|        -25.642        -19.960         -5.682|
     02_27                   Diels-Alder|         25.102         29.600         -4.498|         51.643         50.220          1.423|        -26.541        -20.620         -5.921|
