,Name,Type,pbe0-dh-DFT-forward,REF-forward,pbe0-dh-DELTA-forward,pbe0-dh-DFT-reverse,REF-reverse,pbe0-dh-DELTA-reverse,pbe0-dh-DFT-reaction,REF-reaction,pbe0-dh-DELTA-reaction
0,02_1,Diels-Alder,9.033,8.1,0.933,44.473,43.77,0.703,-35.441,-35.66,0.219
1,02_2,Diels-Alder,10.162,8.85,1.312,44.408,43.49,0.918,-34.246,-34.63,0.384
2,02_3,Diels-Alder,11.707,11.45,0.257,49.775,47.83,1.945,-38.068,-36.38,-1.688
3,02_4,Diels-Alder,10.14,10.15,-0.010,49.245,47.06,2.185,-39.105,-36.92,-2.185
4,02_5,Diels-Alder,23.107,26.57,-3.463,102.329,93.72,8.609,-79.222,-67.15,-12.072
5,02_6,Diels-Alder,23.254,26.77,-3.516,68.896,62.05,6.846,-45.642,-35.27,-10.372
6,02_7,Diels-Alder,16.613,19.07,-2.457,39.431,39.4,0.031,-22.818,-20.32,-2.498
7,02_8,Diels-Alder,8.715,12.2,-3.485,35.873,36.77,-0.897,-27.158,-24.57,-2.588
8,02_9,Diels-Alder,16.259,17.83,-1.571,48.296,47.85,0.446,-32.037,-30.02,-2.017
9,02_10,Diels-Alder,19.774,19.75,0.024,51.426,50.92,0.506,-31.652,-31.17,-0.482
10,02_11,Diels-Alder,23.508,23.08,0.428,46.044,45.7,0.344,-22.535,-22.62,0.085
11,02_12,Diels-Alder,23.32,24.51,-1.190,45.167,44.87,0.297,-21.847,-20.36,-1.487
12,02_13,Diels-Alder,23.741,24.9,-1.159,63.388,60.92,2.468,-39.647,-36.03,-3.617
13,02_14,Diels-Alder,21.609,21.97,-0.361,62.994,60.48,2.514,-41.384,-38.51,-2.874
14,02_15,Diels-Alder,24.726,25.29,-0.564,62.401,60.68,1.721,-37.675,-35.39,-2.285
15,02_16,Diels-Alder,20.461,23.43,-2.969,54.428,53.32,1.108,-33.967,-29.89,-4.077
16,02_17,Diels-Alder,12.083,15.27,-3.187,62.586,59.46,3.126,-50.504,-44.18,-6.324
17,02_18,Diels-Alder,17.17,19.86,-2.690,73.559,70.4,3.159,-56.388,-50.54,-5.848
18,02_19,Diels-Alder,19.249,22.04,-2.791,60.859,59.33,1.529,-41.611,-37.29,-4.321
19,02_20,Diels-Alder,16.745,19.1,-2.355,60.151,56.89,3.261,-43.406,-37.79,-5.616
20,02_21,Diels-Alder,8.435,12.4,-3.965,65.23,62.14,3.090,-56.794,-49.74,-7.054
21,02_22,Diels-Alder,4.373,8.83,-4.457,73.296,68.85,4.446,-68.924,-60.01,-8.914
22,02_23,Diels-Alder,21.792,24.81,-3.018,59.827,57.02,2.807,-38.035,-32.21,-5.825
23,02_24,Diels-Alder,25.15,26.62,-1.470,77.596,73.95,3.646,-52.446,-47.33,-5.116
24,02_25,Diels-Alder,21.414,23.55,-2.136,56.665,54.52,2.145,-35.251,-30.97,-4.281
