      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|          9.033          8.100          0.933|         44.473         43.770          0.703|        -35.441        -35.660          0.219|
      02_2                   Diels-Alder|         10.162          8.850          1.312|         44.408         43.490          0.918|        -34.246        -34.630          0.384|
      02_3                   Diels-Alder|         11.707         11.450          0.257|         49.775         47.830          1.945|        -38.068        -36.380         -1.688|
      02_4                   Diels-Alder|         10.140         10.150         -0.010|         49.245         47.060          2.185|        -39.105        -36.920         -2.185|
      02_5                   Diels-Alder|         23.107         26.570         -3.463|        102.329         93.720          8.609|        -79.222        -67.150        -12.072|
      02_6                   Diels-Alder|         23.254         26.770         -3.516|         68.896         62.050          6.846|        -45.642        -35.270        -10.372|
      02_7                   Diels-Alder|         16.613         19.070         -2.457|         39.431         39.400          0.031|        -22.818        -20.320         -2.498|
      02_8                   Diels-Alder|          8.715         12.200         -3.485|         35.873         36.770         -0.897|        -27.158        -24.570         -2.588|
      02_9                   Diels-Alder|         16.259         17.830         -1.571|         48.296         47.850          0.446|        -32.037        -30.020         -2.017|
     02_10                   Diels-Alder|         19.774         19.750          0.024|         51.426         50.920          0.506|        -31.652        -31.170         -0.482|
     02_11                   Diels-Alder|         23.508         23.080          0.428|         46.044         45.700          0.344|        -22.535        -22.620          0.085|
     02_12                   Diels-Alder|         23.320         24.510         -1.190|         45.167         44.870          0.297|        -21.847        -20.360         -1.487|
     02_13                   Diels-Alder|         23.741         24.900         -1.159|         63.388         60.920          2.468|        -39.647        -36.030         -3.617|
     02_14                   Diels-Alder|         21.609         21.970         -0.361|         62.994         60.480          2.514|        -41.384        -38.510         -2.874|
     02_15                   Diels-Alder|         24.726         25.290         -0.564|         62.401         60.680          1.721|        -37.675        -35.390         -2.285|
     02_16                   Diels-Alder|         20.461         23.430         -2.969|         54.428         53.320          1.108|        -33.967        -29.890         -4.077|
     02_17                   Diels-Alder|         12.083         15.270         -3.187|         62.586         59.460          3.126|        -50.504        -44.180         -6.324|
     02_18                   Diels-Alder|         17.170         19.860         -2.690|         73.559         70.400          3.159|        -56.388        -50.540         -5.848|
     02_19                   Diels-Alder|         19.249         22.040         -2.791|         60.859         59.330          1.529|        -41.611        -37.290         -4.321|
     02_20                   Diels-Alder|         16.745         19.100         -2.355|         60.151         56.890          3.261|        -43.406        -37.790         -5.616|
     02_21                   Diels-Alder|          8.435         12.400         -3.965|         65.230         62.140          3.090|        -56.794        -49.740         -7.054|
     02_22                   Diels-Alder|          4.373          8.830         -4.457|         73.296         68.850          4.446|        -68.924        -60.010         -8.914|
     02_23                   Diels-Alder|         21.792         24.810         -3.018|         59.827         57.020          2.807|        -38.035        -32.210         -5.825|
     02_24                   Diels-Alder|         25.150         26.620         -1.470|         77.596         73.950          3.646|        -52.446        -47.330         -5.116|
     02_25                   Diels-Alder|         21.414         23.550         -2.136|         56.665         54.520          2.145|        -35.251        -30.970         -4.281|
     02_26                   Diels-Alder|         26.432         27.830         -1.398|         49.737         47.790          1.947|        -23.305        -19.960         -3.345|
     02_27                   Diels-Alder|         27.914         29.600         -1.686|         51.994         50.220          1.774|        -24.080        -20.620         -3.460|
     02_28                   Diels-Alder|         20.192         21.690         -1.498|         39.116         38.320          0.796|        -18.924        -16.630         -2.294|
     02_29                   Diels-Alder|          4.040          1.650          2.390|         35.448         35.570         -0.122|        -31.408        -33.920          2.512|
     02_30                   Diels-Alder|         10.698          7.980          2.718|         56.219         55.020          1.199|        -45.521        -47.040          1.519|
     02_31                   Diels-Alder|         19.671         15.120          4.551|         37.164         36.680          0.484|        -17.494        -21.560          4.066|
     02_32                   Diels-Alder|          9.326          6.610          2.716|         54.751         54.790         -0.039|        -45.424        -48.180          2.756|
     02_33                   Diels-Alder|         11.338         11.620         -0.282|         55.233         53.250          1.983|        -43.895        -41.630         -2.265|
     02_34                   Diels-Alder|         17.882         18.280         -0.398|         30.641         30.480          0.161|        -12.759        -12.210         -0.549|
     02_35                   Diels-Alder|         16.039         16.530         -0.491|         30.445         29.810          0.635|        -14.406        -13.280         -1.126|
     02_36                   Diels-Alder|         14.522         15.490         -0.968|         34.592         33.650          0.942|        -20.070        -18.160         -1.910|
     02_37                   Diels-Alder|         16.080         17.000         -0.920|         34.677         34.430          0.247|        -18.597        -17.430         -1.167|
     02_38                   Diels-Alder|         20.961         22.730         -1.769|         39.032         36.090          2.942|        -18.071        -13.360         -4.711|
     02_39                   Diels-Alder|         34.132         37.420         -3.288|         40.444         39.320          1.124|         -6.311         -1.900         -4.411|
     02_40                   Diels-Alder|         15.629         14.260          1.369|         26.757         27.770         -1.013|        -11.127        -13.510          2.383|
     02_41                   Diels-Alder|         31.030         28.060          2.970|         30.223         31.780         -1.557|          0.806         -3.720          4.526|
     02_42                   Diels-Alder|          8.971          8.580          0.391|         49.915         47.740          2.175|        -40.944        -39.150         -1.794|
     02_43                   Diels-Alder|         17.439         16.350          1.089|         51.283         48.760          2.523|        -33.844        -32.410         -1.434|
     02_44                   Diels-Alder|         16.689         16.640          0.049|         55.173         53.180          1.993|        -38.484        -36.540         -1.944|
     02_45                   Diels-Alder|         15.098         16.980         -1.882|         63.919         59.460          4.459|        -48.821        -42.480         -6.341|
     02_46                   Diels-Alder|         25.385         26.480         -1.095|         53.200         51.360          1.840|        -27.815        -24.880         -2.935|
     02_47                   Diels-Alder|         -0.633         -1.340          0.707|         93.443         88.510          4.933|        -94.076        -89.850         -4.226|
     02_48                   Diels-Alder|          2.072          1.980          0.092|         90.774         86.440          4.334|        -88.702        -84.470         -4.232|
     02_49                   Diels-Alder|         14.229         13.950          0.279|         49.369         47.200          2.169|        -35.140        -33.240         -1.900|
     02_50           [3+2]cycloaddition|         17.496         18.440         -0.944|         37.377         35.480          1.897|        -19.881        -17.040         -2.841|
     02_51           [3+2]cycloaddition|         -1.891         -1.950          0.059|         26.987         24.260          2.727|        -28.878        -26.210         -2.668|
     02_52           [3+2]cycloaddition|         13.500         12.390          1.110|         38.506         36.110          2.396|        -25.006        -23.720         -1.286|
     02_53           [3+2]cycloaddition|         12.054         10.450          1.604|         37.350         35.890          1.460|        -25.296        -25.440          0.144|
     02_54           [3+2]cycloaddition|          0.444         -0.120          0.564|         27.495         26.380          1.115|        -27.051        -26.500         -0.551|
     02_55           [3+2]cycloaddition|         14.220         12.650          1.570|         57.167         52.780          4.387|        -42.947        -40.120         -2.827|
     02_56           [3+2]cycloaddition|         13.018         11.600          1.418|         99.708         91.820          7.888|        -86.689        -80.210         -6.479|
     02_57           [3+2]cycloaddition|         10.623          8.100          2.523|         92.486         84.960          7.526|        -81.863        -76.870         -4.993|
     02_58           [3+2]cycloaddition|         17.133         15.430          1.703|         73.300         68.290          5.010|        -56.166        -52.860         -3.306|
     02_59           [3+2]cycloaddition|         17.073         15.300          1.773|         72.782         67.990          4.792|        -55.709        -52.690         -3.019|
     02_60           [3+2]cycloaddition|          8.158          5.930          2.228|         94.704         86.940          7.764|        -86.546        -81.000         -5.546|
     02_61           [3+2]cycloaddition|          2.432          0.410          2.022|         57.846         56.600          1.246|        -55.414        -56.190          0.776|
     02_62           [3+2]cycloaddition|          6.337          3.870          2.467|         60.340         58.420          1.920|        -54.003        -54.550          0.547|
     02_63           [3+2]cycloaddition|         16.169         16.870         -0.701|         43.688         41.500          2.188|        -27.519        -24.630         -2.889|
     02_64           [3+2]cycloaddition|          4.894          5.380         -0.486|         53.063         50.910          2.153|        -48.169        -45.540         -2.629|
     02_65           [3+2]cycloaddition|          7.309          8.080         -0.771|         58.796         56.870          1.926|        -51.488        -48.790         -2.698|
     02_66           [3+2]cycloaddition|          6.958          6.790          0.168|         57.151         55.770          1.381|        -50.194        -48.980         -1.214|
