,Name,Type,pbe0-DFT-forward,REF-forward,pbe0-DELTA-forward,pbe0-DFT-reverse,REF-reverse,pbe0-DELTA-reverse,pbe0-DFT-reaction,REF-reaction,pbe0-DELTA-reaction
0,02_1,Diels-Alder,11.619,8.1,3.519,40.114,43.77,-3.656,-28.495,-35.66,7.165
1,02_2,Diels-Alder,12.91,8.85,4.060,40.206,43.49,-3.284,-27.297,-34.63,7.333
2,02_3,Diels-Alder,13.841,11.45,2.391,45.713,47.83,-2.117,-31.873,-36.38,4.507
3,02_4,Diels-Alder,12.242,10.15,2.092,45.344,47.06,-1.716,-33.102,-36.92,3.818
4,02_5,Diels-Alder,21.697,26.57,-4.873,99.1,93.72,5.380,-77.404,-67.15,-10.254
5,02_6,Diels-Alder,22.049,26.77,-4.721,66.154,62.05,4.104,-44.105,-35.27,-8.835
6,02_7,Diels-Alder,17.06,19.07,-2.010,34.462,39.4,-4.938,-17.402,-20.32,2.918
7,02_8,Diels-Alder,9.553,12.2,-2.647,31.142,36.77,-5.628,-21.588,-24.57,2.982
8,02_9,Diels-Alder,17.308,17.83,-0.522,43.254,47.85,-4.596,-25.947,-30.02,4.073
9,02_10,Diels-Alder,21.414,19.75,1.664,46.21,50.92,-4.710,-24.796,-31.17,6.374
10,02_11,Diels-Alder,25.386,23.08,2.306,41.31,45.7,-4.390,-15.924,-22.62,6.696
11,02_12,Diels-Alder,24.638,24.51,0.128,40.571,44.87,-4.299,-15.933,-20.36,4.427
12,02_13,Diels-Alder,24.927,24.9,0.027,58.888,60.92,-2.032,-33.961,-36.03,2.069
13,02_14,Diels-Alder,23.011,21.97,1.041,58.589,60.48,-1.891,-35.578,-38.51,2.932
14,02_15,Diels-Alder,26.125,25.29,0.835,57.237,60.68,-3.443,-31.112,-35.39,4.278
15,02_16,Diels-Alder,21.026,23.43,-2.404,49.54,53.32,-3.780,-28.513,-29.89,1.377
16,02_17,Diels-Alder,12.504,15.27,-2.766,58.19,59.46,-1.270,-45.686,-44.18,-1.506
17,02_18,Diels-Alder,17.347,19.86,-2.513,68.729,70.4,-1.671,-51.382,-50.54,-0.842
18,02_19,Diels-Alder,19.889,22.04,-2.151,55.91,59.33,-3.420,-36.022,-37.29,1.268
19,02_20,Diels-Alder,17.533,19.1,-1.567,55.677,56.89,-1.213,-38.144,-37.79,-0.354
20,02_21,Diels-Alder,8.417,12.4,-3.983,60.795,62.14,-1.345,-52.378,-49.74,-2.638
21,02_22,Diels-Alder,3.637,8.83,-5.193,70.228,68.85,1.378,-66.591,-60.01,-6.581
22,02_23,Diels-Alder,22.158,24.81,-2.652,55.995,57.02,-1.025,-33.837,-32.21,-1.627
23,02_24,Diels-Alder,24.988,26.62,-1.632,73.682,73.95,-0.268,-48.694,-47.33,-1.364
24,02_25,Diels-Alder,22.015,23.55,-1.535,52.919,54.52,-1.601,-30.903,-30.97,0.067
25,02_26,Diels-Alder,27.367,27.83,-0.463,45.946,47.79,-1.844,-18.579,-19.96,1.381
26,02_27,Diels-Alder,28.796,29.6,-0.804,47.86,50.22,-2.360,-19.064,-20.62,1.556
27,02_28,Diels-Alder,21.072,21.69,-0.618,35.253,38.32,-3.067,-14.18,-16.63,2.450
28,02_29,Diels-Alder,6.59,1.65,4.940,32.876,35.57,-2.694,-26.286,-33.92,7.634
29,02_30,Diels-Alder,12.273,7.98,4.293,53.926,55.02,-1.094,-41.653,-47.04,5.387
30,02_31,Diels-Alder,22.015,15.12,6.895,34.803,36.68,-1.877,-12.788,-21.56,8.772
31,02_32,Diels-Alder,11.152,6.61,4.542,51.29,54.79,-3.500,-40.138,-48.18,8.042
32,02_33,Diels-Alder,11.818,11.62,0.198,50.394,53.25,-2.856,-38.576,-41.63,3.054
33,02_34,Diels-Alder,18.436,18.28,0.156,27.722,30.48,-2.758,-9.286,-12.21,2.924
34,02_35,Diels-Alder,16.419,16.53,-0.111,27.513,29.81,-2.297,-11.094,-13.28,2.186
35,02_36,Diels-Alder,14.466,15.49,-1.024,31.476,33.65,-2.174,-17.009,-18.16,1.151
36,02_37,Diels-Alder,16.161,17.0,-0.839,31.393,34.43,-3.037,-15.231,-17.43,2.199
37,02_38,Diels-Alder,21.033,22.73,-1.697,35.78,36.09,-0.310,-14.747,-13.36,-1.387
38,02_39,Diels-Alder,33.515,37.42,-3.905,36.798,39.32,-2.522,-3.283,-1.9,-1.383
39,02_40,Diels-Alder,18.67,14.26,4.410,22.706,27.77,-5.064,-4.035,-13.51,9.475
40,02_41,Diels-Alder,33.554,28.06,5.494,25.604,31.78,-6.176,7.95,-3.72,11.670
41,02_42,Diels-Alder,11.257,8.58,2.677,46.899,47.74,-0.841,-35.642,-39.15,3.508
