,Name,Type,wb2-plyp-DFT-forward,REF-forward,wb2-plyp-DELTA-forward,wb2-plyp-DFT-reverse,REF-reverse,wb2-plyp-DELTA-reverse,wb2-plyp-DFT-reaction,REF-reaction,wb2-plyp-DELTA-reaction
0,02_1,Diels-Alder,6.827,8.1,-1.273,47.386,43.77,3.616,-40.559,-35.66,-4.899
1,02_2,Diels-Alder,7.761,8.85,-1.089,47.12,43.49,3.630,-39.36,-34.63,-4.730
2,02_3,Diels-Alder,10.373,11.45,-1.077,51.631,47.83,3.801,-41.257,-36.38,-4.877
3,02_4,Diels-Alder,8.729,10.15,-1.421,50.824,47.06,3.764,-42.095,-36.92,-5.175
4,02_5,Diels-Alder,26.343,26.57,-0.227,100.774,93.72,7.054,-74.43,-67.15,-7.280
5,02_6,Diels-Alder,26.806,26.77,0.036,68.141,62.05,6.091,-41.334,-35.27,-6.064
6,02_7,Diels-Alder,19.231,19.07,0.161,43.455,39.4,4.055,-24.223,-20.32,-3.903
7,02_8,Diels-Alder,10.799,12.2,-1.401,39.069,36.77,2.299,-28.27,-24.57,-3.700
8,02_9,Diels-Alder,17.6,17.83,-0.230,51.82,47.85,3.970,-34.22,-30.02,-4.200
9,02_10,Diels-Alder,19.774,19.75,0.024,54.999,50.92,4.079,-35.225,-31.17,-4.055
10,02_11,Diels-Alder,23.129,23.08,0.049,49.288,45.7,3.588,-26.159,-22.62,-3.539
11,02_12,Diels-Alder,24.03,24.51,-0.480,48.541,44.87,3.671,-24.511,-20.36,-4.151
12,02_13,Diels-Alder,24.501,24.9,-0.399,65.358,60.92,4.438,-40.857,-36.03,-4.827
13,02_14,Diels-Alder,21.728,21.97,-0.242,65.181,60.48,4.701,-43.453,-38.51,-4.943
14,02_15,Diels-Alder,24.845,25.29,-0.445,64.886,60.68,4.206,-40.041,-35.39,-4.651
15,02_16,Diels-Alder,22.901,23.43,-0.529,57.295,53.32,3.975,-34.394,-29.89,-4.504
16,02_17,Diels-Alder,14.837,15.27,-0.433,63.953,59.46,4.493,-49.116,-44.18,-4.936
17,02_18,Diels-Alder,19.711,19.86,-0.149,75.082,70.4,4.682,-55.371,-50.54,-4.831
18,02_19,Diels-Alder,21.969,22.04,-0.071,63.833,59.33,4.503,-41.865,-37.29,-4.575
19,02_20,Diels-Alder,19.098,19.1,-0.002,62.459,56.89,5.569,-43.361,-37.79,-5.571
20,02_21,Diels-Alder,12.115,12.4,-0.285,66.453,62.14,4.313,-54.339,-49.74,-4.599
21,02_22,Diels-Alder,7.913,8.83,-0.917,72.57,68.85,3.720,-64.657,-60.01,-4.647
22,02_23,Diels-Alder,24.938,24.81,0.128,61.27,57.02,4.250,-36.333,-32.21,-4.123
23,02_24,Diels-Alder,26.766,26.62,0.146,78.295,73.95,4.345,-51.529,-47.33,-4.199
24,02_25,Diels-Alder,22.956,23.55,-0.594,58.757,54.52,4.237,-35.802,-30.97,-4.832
25,02_26,Diels-Alder,27.723,27.83,-0.107,51.657,47.79,3.867,-23.934,-19.96,-3.974
26,02_27,Diels-Alder,29.344,29.6,-0.256,54.076,50.22,3.856,-24.733,-20.62,-4.113
27,02_28,Diels-Alder,22.836,21.69,1.146,41.123,38.32,2.803,-18.287,-16.63,-1.657
28,02_29,Diels-Alder,1.8,1.65,0.150,36.479,35.57,0.909,-34.679,-33.92,-0.759
29,02_30,Diels-Alder,8.751,7.98,0.771,55.302,55.02,0.282,-46.551,-47.04,0.489
30,02_31,Diels-Alder,16.729,15.12,1.609,36.306,36.68,-0.374,-19.577,-21.56,1.983
31,02_32,Diels-Alder,7.0,6.61,0.390,55.563,54.79,0.773,-48.563,-48.18,-0.383
32,02_33,Diels-Alder,11.785,11.62,0.165,57.968,53.25,4.718,-46.183,-41.63,-4.553
