,Name,Type,wb97x-v-DFT-forward,REF-forward,wb97x-v-DELTA-forward,wb97x-v-DFT-reverse,REF-reverse,wb97x-v-DELTA-reverse,wb97x-v-DFT-reaction,REF-reaction,wb97x-v-DELTA-reaction
0,02_1,Diels-Alder,8.226,8.1,0.126,49.621,43.77,5.851,-41.395,-35.66,-5.735
1,02_2,Diels-Alder,9.033,8.85,0.183,49.275,43.49,5.785,-40.242,-34.63,-5.612
2,02_3,Diels-Alder,11.421,11.45,-0.029,54.072,47.83,6.242,-42.65,-36.38,-6.270
3,02_4,Diels-Alder,9.645,10.15,-0.505,52.884,47.06,5.824,-43.239,-36.92,-6.319
4,02_5,Diels-Alder,28.32,26.57,1.750,99.932,93.72,6.212,-71.612,-67.15,-4.462
5,02_6,Diels-Alder,28.849,26.77,2.079,68.77,62.05,6.720,-39.921,-35.27,-4.651
6,02_7,Diels-Alder,21.807,19.07,2.737,47.674,39.4,8.274,-25.867,-20.32,-5.547
7,02_8,Diels-Alder,13.436,12.2,1.236,41.488,36.77,4.718,-28.052,-24.57,-3.482
8,02_9,Diels-Alder,19.535,17.83,1.705,54.66,47.85,6.810,-35.125,-30.02,-5.105
9,02_10,Diels-Alder,20.92,19.75,1.170,57.815,50.92,6.895,-36.896,-31.17,-5.726
10,02_11,Diels-Alder,24.328,23.08,1.248,52.587,45.7,6.887,-28.259,-22.62,-5.639
11,02_12,Diels-Alder,25.697,24.51,1.187,51.88,44.87,7.010,-26.183,-20.36,-5.823
12,02_13,Diels-Alder,26.166,24.9,1.266,67.204,60.92,6.284,-41.038,-36.03,-5.008
13,02_14,Diels-Alder,23.524,21.97,1.554,67.049,60.48,6.569,-43.524,-38.51,-5.014
14,02_15,Diels-Alder,26.639,25.29,1.349,67.055,60.68,6.375,-40.416,-35.39,-5.026
15,02_16,Diels-Alder,25.456,23.43,2.026,59.472,53.32,6.152,-34.016,-29.89,-4.126
16,02_17,Diels-Alder,16.841,15.27,1.571,65.539,59.46,6.079,-48.697,-44.18,-4.517
17,02_18,Diels-Alder,21.342,19.86,1.482,77.081,70.4,6.681,-55.739,-50.54,-5.199
18,02_19,Diels-Alder,25.953,22.04,3.913,66.808,59.33,7.478,-40.855,-37.29,-3.565
19,02_20,Diels-Alder,22.373,19.1,3.273,64.691,56.89,7.801,-42.319,-37.79,-4.529
20,02_21,Diels-Alder,13.639,12.4,1.239,68.781,62.14,6.641,-55.142,-49.74,-5.402
21,02_22,Diels-Alder,9.092,8.83,0.262,75.623,68.85,6.773,-66.53,-60.01,-6.520
22,02_23,Diels-Alder,26.51,24.81,1.700,63.521,57.02,6.501,-37.011,-32.21,-4.801
23,02_24,Diels-Alder,27.921,26.62,1.301,80.183,73.95,6.233,-52.262,-47.33,-4.932
24,02_25,Diels-Alder,24.858,23.55,1.308,61.099,54.52,6.579,-36.242,-30.97,-5.272
25,02_26,Diels-Alder,29.207,27.83,1.377,54.035,47.79,6.245,-24.828,-19.96,-4.868
26,02_27,Diels-Alder,30.798,29.6,1.198,56.405,50.22,6.185,-25.607,-20.62,-4.987
27,02_28,Diels-Alder,24.301,21.69,2.611,43.986,38.32,5.666,-19.685,-16.63,-3.055
28,02_29,Diels-Alder,3.472,1.65,1.822,39.65,35.57,4.080,-36.179,-33.92,-2.259
29,02_30,Diels-Alder,9.955,7.98,1.975,58.336,55.02,3.316,-48.381,-47.04,-1.341
30,02_31,Diels-Alder,16.861,15.12,1.741,38.934,36.68,2.254,-22.073,-21.56,-0.513
31,02_32,Diels-Alder,9.141,6.61,2.531,57.692,54.79,2.902,-48.551,-48.18,-0.371
32,02_33,Diels-Alder,13.961,11.62,2.341,59.385,53.25,6.135,-45.424,-41.63,-3.794
33,02_34,Diels-Alder,18.231,18.28,-0.049,33.454,30.48,2.974,-15.223,-12.21,-3.013
34,02_35,Diels-Alder,16.303,16.53,-0.227,32.421,29.81,2.611,-16.118,-13.28,-2.838
35,02_36,Diels-Alder,15.421,15.49,-0.069,36.523,33.65,2.873,-21.102,-18.16,-2.942
36,02_37,Diels-Alder,17.18,17.0,0.180,37.641,34.43,3.211,-20.461,-17.43,-3.031
37,02_38,Diels-Alder,25.108,22.73,2.378,41.179,36.09,5.089,-16.071,-13.36,-2.711
38,02_39,Diels-Alder,39.803,37.42,2.383,44.341,39.32,5.021,-4.538,-1.9,-2.638
39,02_40,Diels-Alder,14.973,14.26,0.713,31.561,27.77,3.791,-16.588,-13.51,-3.078
40,02_41,Diels-Alder,29.858,28.06,1.798,36.036,31.78,4.256,-6.178,-3.72,-2.458
41,02_42,Diels-Alder,10.276,8.58,1.696,52.861,47.74,5.121,-42.585,-39.15,-3.435
42,02_43,Diels-Alder,18.729,16.35,2.379,54.725,48.76,5.965,-35.996,-32.41,-3.586
43,02_44,Diels-Alder,18.428,16.64,1.788,58.499,53.18,5.319,-40.071,-36.54,-3.531
44,02_45,Diels-Alder,18.196,16.98,1.216,65.225,59.46,5.765,-47.028,-42.48,-4.548
45,02_46,Diels-Alder,27.818,26.48,1.338,57.9,51.36,6.540,-30.082,-24.88,-5.202
46,02_47,Diels-Alder,-1.733,-1.34,-0.393,94.207,88.51,5.697,-95.94,-89.85,-6.090
47,02_48,Diels-Alder,1.188,1.98,-0.792,93.45,86.44,7.010,-92.262,-84.47,-7.792
48,02_49,Diels-Alder,14.644,13.95,0.694,53.997,47.2,6.797,-39.353,-33.24,-6.113
49,02_50,[3+2]cycloaddition,18.941,18.44,0.501,40.173,35.48,4.693,-21.232,-17.04,-4.192
50,02_51,[3+2]cycloaddition,-2.877,-1.95,-0.927,27.519,24.26,3.259,-30.396,-26.21,-4.186
51,02_52,[3+2]cycloaddition,12.235,12.39,-0.155,41.881,36.11,5.771,-29.646,-23.72,-5.926
52,02_53,[3+2]cycloaddition,8.673,10.45,-1.777,40.232,35.89,4.342,-31.559,-25.44,-6.119
53,02_54,[3+2]cycloaddition,-1.98,-0.12,-1.860,28.68,26.38,2.300,-30.661,-26.5,-4.161
54,02_55,[3+2]cycloaddition,14.118,12.65,1.468,60.201,52.78,7.421,-46.083,-40.12,-5.963
55,02_56,[3+2]cycloaddition,12.886,11.6,1.286,100.316,91.82,8.496,-87.43,-80.21,-7.220
56,02_57,[3+2]cycloaddition,9.8,8.1,1.700,94.463,84.96,9.503,-84.663,-76.87,-7.793
57,02_58,[3+2]cycloaddition,17.374,15.43,1.944,75.041,68.29,6.751,-57.667,-52.86,-4.807
58,02_59,[3+2]cycloaddition,17.069,15.3,1.769,74.533,67.99,6.543,-57.464,-52.69,-4.774
59,02_60,[3+2]cycloaddition,6.886,5.93,0.956,95.537,86.94,8.597,-88.651,-81.0,-7.651
60,02_61,[3+2]cycloaddition,0.744,0.41,0.334,59.033,56.6,2.433,-58.289,-56.19,-2.099
61,02_62,[3+2]cycloaddition,5.0,3.87,1.130,61.436,58.42,3.016,-56.435,-54.55,-1.885
62,02_63,[3+2]cycloaddition,17.641,16.87,0.771,44.98,41.5,3.480,-27.339,-24.63,-2.709
63,02_64,[3+2]cycloaddition,6.552,5.38,1.172,54.356,50.91,3.446,-47.804,-45.54,-2.264
64,02_65,[3+2]cycloaddition,8.859,8.08,0.779,59.667,56.87,2.797,-50.808,-48.79,-2.018
65,02_66,[3+2]cycloaddition,6.759,6.79,-0.031,57.997,55.77,2.227,-51.239,-48.98,-2.259
66,02_67,[3+2]cycloaddition,7.844,6.93,0.914,40.016,34.09,5.926,-32.172,-27.16,-5.012
67,02_68,[3+2]cycloaddition,9.576,8.7,0.876,40.941,35.15,5.791,-31.365,-26.45,-4.915
68,02_69,[3+2]cycloaddition,14.469,13.35,1.119,44.396,38.42,5.976,-29.928,-25.07,-4.858
69,02_70,[3+2]cycloaddition,34.746,33.3,1.446,47.933,41.8,6.133,-13.187,-8.51,-4.677
70,02_71,[3+2]cycloaddition,36.199,34.78,1.419,46.493,40.16,6.333,-10.295,-5.38,-4.915
71,02_72,[3+2]cycloaddition,30.006,26.38,3.626,57.893,51.44,6.453,-27.886,-25.06,-2.826
72,02_73,[3+2]cycloaddition,10.043,10.06,-0.017,49.679,45.53,4.149,-39.636,-35.47,-4.166
73,02_74,[3+2]cycloaddition,27.368,27.86,-0.492,29.676,26.23,3.446,-2.308,1.63,-3.938
74,02_75,[3+2]cycloaddition,9.841,9.79,0.051,45.931,41.83,4.101,-36.09,-32.04,-4.050
75,02_76,[3+2]cycloaddition,20.757,20.35,0.407,41.016,37.37,3.646,-20.259,-17.02,-3.239
76,02_77,[3+2]cycloaddition,7.055,6.99,0.065,51.065,46.28,4.785,-44.009,-39.3,-4.709
77,02_78,[3+2]cycloaddition,20.114,19.13,0.984,42.137,38.27,3.867,-22.023,-19.14,-2.883
78,02_79,[3+2]cycloaddition,1.397,1.94,-0.543,46.625,42.25,4.375,-45.228,-40.31,-4.918
79,02_80,[3+2]cycloaddition,29.327,28.38,0.947,45.504,41.25,4.254,-16.178,-12.87,-3.308
80,02_81,[3+2]cycloaddition,11.161,11.14,0.021,46.569,43.06,3.509,-35.408,-31.92,-3.488
81,02_82,Electrocyclic,10.647,10.61,0.037,41.98,37.95,4.030,-31.333,-27.34,-3.993
