,Name,Type,wb97x-DFT-forward,REF-forward,wb97x-DELTA-forward,wb97x-DFT-reverse,REF-reverse,wb97x-DELTA-reverse,wb97x-DFT-reaction,REF-reaction,wb97x-DELTA-reaction
0,02_1,Diels-Alder,15.419,8.1,7.319,49.601,43.77,5.831,-34.182,-35.66,1.478
1,02_2,Diels-Alder,16.624,8.85,7.774,49.658,43.49,6.168,-33.033,-34.63,1.597
2,02_3,Diels-Alder,18.248,11.45,6.798,54.477,47.83,6.647,-36.228,-36.38,0.152
3,02_4,Diels-Alder,16.405,10.15,6.255,53.349,47.06,6.289,-36.943,-36.92,-0.023
4,02_5,Diels-Alder,31.456,26.57,4.886,100.388,93.72,6.668,-68.933,-67.15,-1.783
5,02_6,Diels-Alder,31.955,26.77,5.185,69.061,62.05,7.011,-37.105,-35.27,-1.835
6,02_7,Diels-Alder,26.444,19.07,7.374,46.795,39.4,7.395,-20.352,-20.32,-0.032
7,02_8,Diels-Alder,17.776,12.2,5.576,39.229,36.77,2.459,-21.453,-24.57,3.117
8,02_9,Diels-Alder,24.859,17.83,7.029,53.529,47.85,5.679,-28.67,-30.02,1.350
9,02_10,Diels-Alder,26.939,19.75,7.189,56.303,50.92,5.383,-29.364,-31.17,1.806
10,02_11,Diels-Alder,30.798,23.08,7.718,51.694,45.7,5.994,-20.896,-22.62,1.724
11,02_12,Diels-Alder,31.329,24.51,6.819,51.063,44.87,6.193,-19.734,-20.36,0.626
12,02_13,Diels-Alder,31.578,24.9,6.678,66.62,60.92,5.700,-35.042,-36.03,0.988
13,02_14,Diels-Alder,29.14,21.97,7.170,66.717,60.48,6.237,-37.577,-38.51,0.933
14,02_15,Diels-Alder,32.43,25.29,7.140,65.945,60.68,5.265,-33.515,-35.39,1.875
15,02_16,Diels-Alder,30.457,23.43,7.027,58.29,53.32,4.970,-27.833,-29.89,2.057
16,02_17,Diels-Alder,21.7,15.27,6.430,65.048,59.46,5.588,-43.348,-44.18,0.832
17,02_18,Diels-Alder,26.145,19.86,6.285,76.377,70.4,5.977,-50.232,-50.54,0.308
18,02_19,Diels-Alder,30.746,22.04,8.706,65.544,59.33,6.214,-34.798,-37.29,2.492
19,02_20,Diels-Alder,27.754,19.1,8.654,64.457,56.89,7.567,-36.703,-37.79,1.087
20,02_21,Diels-Alder,17.866,12.4,5.466,68.732,62.14,6.592,-50.866,-49.74,-1.126
21,02_22,Diels-Alder,12.451,8.83,3.621,75.161,68.85,6.311,-62.71,-60.01,-2.700
22,02_23,Diels-Alder,31.667,24.81,6.857,63.817,57.02,6.797,-32.151,-32.21,0.059
23,02_24,Diels-Alder,31.945,26.62,5.325,79.71,73.95,5.760,-47.765,-47.33,-0.435
24,02_25,Diels-Alder,29.766,23.55,6.216,61.129,54.52,6.609,-31.363,-30.97,-0.393
25,02_26,Diels-Alder,34.667,27.83,6.837,54.132,47.79,6.342,-19.465,-19.96,0.495
26,02_27,Diels-Alder,36.303,29.6,6.703,56.337,50.22,6.117,-20.033,-20.62,0.587
27,02_28,Diels-Alder,28.806,21.69,7.116,43.185,38.32,4.865,-14.379,-16.63,2.251
