      NAME                          TYPE|                                   FORWARD BH|                                   REVERSE BH|                              REACTION ENERGY|
                                        |            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|            DFT            REF        DFT-REF|
      02_1                   Diels-Alder|         15.419          8.100          7.319|         49.601         43.770          5.831|        -34.182        -35.660          1.478|
      02_2                   Diels-Alder|         16.624          8.850          7.774|         49.658         43.490          6.168|        -33.033        -34.630          1.597|
      02_3                   Diels-Alder|         18.248         11.450          6.798|         54.477         47.830          6.647|        -36.228        -36.380          0.152|
      02_4                   Diels-Alder|         16.405         10.150          6.255|         53.349         47.060          6.289|        -36.943        -36.920         -0.023|
      02_5                   Diels-Alder|         31.456         26.570          4.886|        100.388         93.720          6.668|        -68.933        -67.150         -1.783|
      02_6                   Diels-Alder|         31.955         26.770          5.185|         69.061         62.050          7.011|        -37.105        -35.270         -1.835|
      02_7                   Diels-Alder|         26.444         19.070          7.374|         46.795         39.400          7.395|        -20.352        -20.320         -0.032|
      02_8                   Diels-Alder|         17.776         12.200          5.576|         39.229         36.770          2.459|        -21.453        -24.570          3.117|
      02_9                   Diels-Alder|         24.859         17.830          7.029|         53.529         47.850          5.679|        -28.670        -30.020          1.350|
     02_10                   Diels-Alder|         26.939         19.750          7.189|         56.303         50.920          5.383|        -29.364        -31.170          1.806|
     02_11                   Diels-Alder|         30.798         23.080          7.718|         51.694         45.700          5.994|        -20.896        -22.620          1.724|
     02_12                   Diels-Alder|         31.329         24.510          6.819|         51.063         44.870          6.193|        -19.734        -20.360          0.626|
     02_13                   Diels-Alder|         31.578         24.900          6.678|         66.620         60.920          5.700|        -35.042        -36.030          0.988|
     02_14                   Diels-Alder|         29.140         21.970          7.170|         66.717         60.480          6.237|        -37.577        -38.510          0.933|
     02_15                   Diels-Alder|         32.430         25.290          7.140|         65.945         60.680          5.265|        -33.515        -35.390          1.875|
     02_16                   Diels-Alder|         30.457         23.430          7.027|         58.290         53.320          4.970|        -27.833        -29.890          2.057|
     02_17                   Diels-Alder|         21.700         15.270          6.430|         65.048         59.460          5.588|        -43.348        -44.180          0.832|
     02_18                   Diels-Alder|         26.145         19.860          6.285|         76.377         70.400          5.977|        -50.232        -50.540          0.308|
     02_19                   Diels-Alder|         30.746         22.040          8.706|         65.544         59.330          6.214|        -34.798        -37.290          2.492|
     02_20                   Diels-Alder|         27.754         19.100          8.654|         64.457         56.890          7.567|        -36.703        -37.790          1.087|
     02_21                   Diels-Alder|         17.866         12.400          5.466|         68.732         62.140          6.592|        -50.866        -49.740         -1.126|
     02_22                   Diels-Alder|         12.451          8.830          3.621|         75.161         68.850          6.311|        -62.710        -60.010         -2.700|
     02_23                   Diels-Alder|         31.667         24.810          6.857|         63.817         57.020          6.797|        -32.151        -32.210          0.059|
     02_24                   Diels-Alder|         31.945         26.620          5.325|         79.710         73.950          5.760|        -47.765        -47.330         -0.435|
     02_25                   Diels-Alder|         29.766         23.550          6.216|         61.129         54.520          6.609|        -31.363        -30.970         -0.393|
     02_26                   Diels-Alder|         34.667         27.830          6.837|         54.132         47.790          6.342|        -19.465        -19.960          0.495|
     02_27                   Diels-Alder|         36.303         29.600          6.703|         56.337         50.220          6.117|        -20.033        -20.620          0.587|
     02_28                   Diels-Alder|         28.806         21.690          7.116|         43.185         38.320          4.865|        -14.379        -16.630          2.251|
     02_29                   Diels-Alder|          9.513          1.650          7.863|         39.213         35.570          3.643|        -29.701        -33.920          4.219|
     02_30                   Diels-Alder|         15.094          7.980          7.114|         56.690         55.020          1.670|        -41.597        -47.040          5.443|
     02_31                   Diels-Alder|         23.365         15.120          8.245|         36.721         36.680          0.041|        -13.357        -21.560          8.203|
     02_32                   Diels-Alder|         14.082          6.610          7.472|         56.056         54.790          1.266|        -41.974        -48.180          6.206|
     02_33                   Diels-Alder|         17.553         11.620          5.933|         58.541         53.250          5.291|        -40.988        -41.630          0.642|
     02_34                   Diels-Alder|         20.619         18.280          2.339|         32.500         30.480          2.020|        -11.881        -12.210          0.329|
     02_35                   Diels-Alder|         18.730         16.530          2.200|         31.684         29.810          1.874|        -12.954        -13.280          0.326|
     02_36                   Diels-Alder|         17.297         15.490          1.807|         35.338         33.650          1.688|        -18.040        -18.160          0.120|
     02_37                   Diels-Alder|         19.052         17.000          2.052|         36.112         34.430          1.682|        -17.060        -17.430          0.370|
     02_38                   Diels-Alder|         29.841         22.730          7.111|         40.567         36.090          4.477|        -10.726        -13.360          2.634|
     02_39                   Diels-Alder|         44.129         37.420          6.709|         43.639         39.320          4.319|          0.490         -1.900          2.390|
     02_40                   Diels-Alder|         21.728         14.260          7.468|         30.064         27.770          2.294|         -8.337        -13.510          5.173|
     02_41                   Diels-Alder|         37.224         28.060          9.164|         34.982         31.780          3.202|          2.242         -3.720          5.962|
     02_42                   Diels-Alder|         15.946          8.580          7.366|         52.988         47.740          5.248|        -37.043        -39.150          2.107|
     02_43                   Diels-Alder|         24.381         16.350          8.031|         54.879         48.760          6.119|        -30.498        -32.410          1.912|
     02_44                   Diels-Alder|         23.498         16.640          6.858|         58.123         53.180          4.943|        -34.624        -36.540          1.916|
     02_45                   Diels-Alder|         22.058         16.980          5.078|         65.091         59.460          5.631|        -43.033        -42.480         -0.553|
     02_46                   Diels-Alder|         33.449         26.480          6.969|         57.567         51.360          6.207|        -24.118        -24.880          0.762|
     02_47                   Diels-Alder|          0.839         -1.340          2.179|         91.161         88.510          2.651|        -90.322        -89.850         -0.472|
     02_48                   Diels-Alder|          5.228          1.980          3.248|         91.054         86.440          4.614|        -85.825        -84.470         -1.355|
     02_49                   Diels-Alder|         21.576         13.950          7.626|         53.709         47.200          6.509|        -32.133        -33.240          1.107|
     02_50           [3+2]cycloaddition|         23.996         18.440          5.556|         38.868         35.480          3.388|        -14.872        -17.040          2.168|
     02_51           [3+2]cycloaddition|          1.920         -1.950          3.870|         25.719         24.260          1.459|        -23.798        -26.210          2.412|
     02_52           [3+2]cycloaddition|         16.668         12.390          4.278|         40.705         36.110          4.595|        -24.037        -23.720         -0.317|
     02_53           [3+2]cycloaddition|         14.673         10.450          4.223|         39.758         35.890          3.868|        -25.085        -25.440          0.355|
     02_54           [3+2]cycloaddition|          2.773         -0.120          2.893|         26.982         26.380          0.602|        -24.210        -26.500          2.290|
     02_55           [3+2]cycloaddition|         16.718         12.650          4.068|         59.675         52.780          6.895|        -42.958        -40.120         -2.838|
     02_56           [3+2]cycloaddition|         14.981         11.600          3.381|         99.467         91.820          7.647|        -84.486        -80.210         -4.276|
     02_57           [3+2]cycloaddition|         12.608          8.100          4.508|         93.428         84.960          8.468|        -80.820        -76.870         -3.950|
     02_58           [3+2]cycloaddition|         19.763         15.430          4.333|         73.860         68.290          5.570|        -54.097        -52.860         -1.237|
     02_59           [3+2]cycloaddition|         19.469         15.300          4.169|         73.253         67.990          5.263|        -53.784        -52.690         -1.094|
     02_60           [3+2]cycloaddition|          9.410          5.930          3.480|         94.385         86.940          7.445|        -84.974        -81.000         -3.974|
     02_61           [3+2]cycloaddition|          3.224          0.410          2.814|         56.845         56.600          0.245|        -53.620        -56.190          2.570|
     02_62           [3+2]cycloaddition|          7.950          3.870          4.080|         59.860         58.420          1.440|        -51.910        -54.550          2.640|
     02_63           [3+2]cycloaddition|         20.129         16.870          3.259|         44.320         41.500          2.820|        -24.190        -24.630          0.440|
     02_64           [3+2]cycloaddition|          9.092          5.380          3.712|         52.729         50.910          1.819|        -43.636        -45.540          1.904|
     02_65           [3+2]cycloaddition|         11.734          8.080          3.654|         57.908         56.870          1.038|        -46.173        -48.790          2.617|
     02_66           [3+2]cycloaddition|          9.109          6.790          2.319|         55.314         55.770         -0.456|        -46.206        -48.980          2.774|
     02_67           [3+2]cycloaddition|         12.773          6.930          5.843|         37.424         34.090          3.334|        -24.651        -27.160          2.509|
     02_68           [3+2]cycloaddition|         14.734          8.700          6.034|         38.379         35.150          3.229|        -23.645        -26.450          2.805|
     02_69           [3+2]cycloaddition|         19.324         13.350          5.974|         42.470         38.420          4.050|        -23.145        -25.070          1.925|
     02_70           [3+2]cycloaddition|         40.841         33.300          7.541|         47.217         41.800          5.417|         -6.376         -8.510          2.134|
     02_71           [3+2]cycloaddition|         41.959         34.780          7.179|         46.090         40.160          5.930|         -4.130         -5.380          1.250|
     02_72           [3+2]cycloaddition|         32.481         26.380          6.101|         56.913         51.440          5.473|        -24.432        -25.060          0.628|
     02_73           [3+2]cycloaddition|         14.608         10.060          4.548|         47.950         45.530          2.420|        -33.342        -35.470          2.128|
     02_74           [3+2]cycloaddition|         29.965         27.860          2.105|         28.012         26.230          1.782|          1.953          1.630          0.323|
     02_75           [3+2]cycloaddition|         15.052          9.790          5.262|         44.341         41.830          2.511|        -29.288        -32.040          2.752|
     02_76           [3+2]cycloaddition|         23.970         20.350          3.620|         38.921         37.370          1.551|        -14.952        -17.020          2.068|
     02_77           [3+2]cycloaddition|         12.320          6.990          5.330|         49.030         46.280          2.750|        -36.711        -39.300          2.589|
     02_78           [3+2]cycloaddition|         23.775         19.130          4.645|         40.186         38.270          1.916|        -16.411        -19.140          2.729|
     02_79           [3+2]cycloaddition|          6.434          1.940          4.494|         44.892         42.250          2.642|        -38.459        -40.310          1.851|
     02_80           [3+2]cycloaddition|         33.130         28.380          4.750|         43.731         41.250          2.481|        -10.601        -12.870          2.269|
     02_81           [3+2]cycloaddition|         16.280         11.140          5.140|         44.995         43.060          1.935|        -28.715        -31.920          3.205|
     02_82                 Electrocyclic|         15.460         10.610          4.850|         39.980         37.950          2.030|        -24.520        -27.340          2.820|
     02_83                 Electrocyclic|         18.979         17.650          1.329|         46.953         44.980          1.973|        -27.973        -27.330         -0.643|
     02_84                 Electrocyclic|         29.791         26.680          3.111|         54.214         50.510          3.704|        -24.423        -23.830         -0.593|
     02_85                 Electrocyclic|         33.761         30.660          3.101|         55.305         51.430          3.875|        -21.545        -20.780         -0.765|
     02_86                 Electrocyclic|         31.892         27.740          4.152|         57.822         52.700          5.122|        -25.930        -24.960         -0.970|
     02_87                 Electrocyclic|         34.496         30.730          3.766|         58.545         53.650          4.895|        -24.049        -22.910         -1.139|
     02_88                 Electrocyclic|         27.983         24.910          3.073|         55.535         51.360          4.175|        -27.552        -26.450         -1.102|
     02_89                 Electrocyclic|         31.558         28.620          2.938|         57.163         52.880          4.283|        -25.605        -24.260         -1.345|
     02_90                 Electrocyclic|         30.356         27.430          2.926|         56.164         52.170          3.994|        -25.809        -24.740         -1.069|
     02_91                 Electrocyclic|         33.956         31.000          2.956|         58.797         54.550          4.247|        -24.841        -23.550         -1.291|
     02_92                 Electrocyclic|         27.367         23.660          3.707|         58.478         53.480          4.998|        -31.111        -29.820         -1.291|
     02_93                 Electrocyclic|         32.195         28.690          3.505|         59.907         54.950          4.957|        -27.712        -26.260         -1.452|
     02_94                 Electrocyclic|         28.913         25.600          3.313|         58.757         54.460          4.297|        -29.844        -28.860         -0.984|
     02_95                 Electrocyclic|         31.424         28.020          3.404|         60.378         55.880          4.498|        -28.954        -27.860         -1.094|
     02_96                 Electrocyclic|         13.108         11.390          1.718|         15.693         15.190          0.503|         -2.586         -3.800          1.214|
     02_97                 Electrocyclic|         48.389         43.520          4.869|         23.107         21.760          1.347|         25.282         21.760          3.522|
     02_98                 Electrocyclic|         37.114         33.080          4.034|         48.431         45.420          3.011|        -11.318        -12.340          1.022|
     02_99                 Electrocyclic|         50.100         44.280          5.820|         58.986         54.350          4.636|         -8.886        -10.070          1.184|
    02_100                 Electrocyclic|         40.844         36.070          4.774|         20.710         19.790          0.920|         20.134         16.280          3.854|
    02_101                 Electrocyclic|         48.263         41.800          6.463|         51.137         45.810          5.327|         -2.874         -4.010          1.136|
    02_102                 Electrocyclic|         41.704         38.730          2.974|         41.685         36.550          5.135|          0.019          2.180         -2.161|
    02_103                 Electrocyclic|         40.027         36.240          3.787|         41.990         36.680          5.310|         -1.964         -0.440         -1.524|
    02_104                 Electrocyclic|         14.082         13.100          0.982|         45.482         40.490          4.992|        -31.401        -27.390         -4.011|
    02_105                 Electrocyclic|         53.841         48.250          5.591|         48.381         42.240          6.141|          5.459          6.010         -0.551|
    02_106           [4+6]cycloaddition|         20.932         11.530          9.402|         35.662         29.790          5.872|        -14.730        -18.260          3.530|
    02_107           [6+4]cycloaddition|         20.932         11.530          9.402|         42.204         36.380          5.824|        -21.273        -24.850          3.577|
    02_108           [8+2]cycloaddition|         20.932         11.530          9.402|         42.307         35.010          7.297|        -21.375        -23.480          2.105|
    02_109           [3,3]rearrangement|         51.492         43.450          8.042|         60.231         50.580          9.651|         -8.739         -7.130         -1.609|
    02_110           [3,3]rearrangement|         51.492         43.450          8.042|         63.724         57.370          6.354|        -12.232        -13.920          1.688|
    02_111           [3,3]rearrangement|         45.810         36.960          8.850|         58.645         51.170          7.475|        -12.835        -14.220          1.385|
    02_112           [4+6]cycloaddition|         22.029         12.840          9.189|         36.918         31.120          5.798|        -14.889        -18.280          3.391|
    02_113           [6+4]cycloaddition|         22.029         12.840          9.189|         42.395         36.750          5.645|        -20.365        -23.910          3.545|
    02_114           [8+2]cycloaddition|         22.029         12.840          9.189|         44.217         37.940          6.277|        -22.188        -25.100          2.912|
    02_115           [4+6]cycloaddition|         21.850         11.830         10.020|         36.740         30.110          6.630|        -14.889        -18.280          3.391|
    02_116           [6+4]cycloaddition|         21.850         11.830         10.020|         42.262         35.810          6.452|        -20.412        -23.980          3.568|
    02_117           [8+2]cycloaddition|         21.850         11.830         10.020|         48.503         40.210          8.293|        -26.653        -28.380          1.727|
    02_118          [4+2]intramolecular|         30.543         22.520          8.023|         49.206         41.610          7.596|        -18.662        -19.090          0.428|
    02_119          [6+4]intramolecular|         27.235         18.910          8.325|         54.146         47.580          6.566|        -26.911        -28.670          1.759|
    02_120          [4+2]intramolecular|         25.117         16.790          8.327|         49.632         43.120          6.512|        -24.515        -26.330          1.815|
    02_121          [6+4]intramolecular|         25.117         16.790          8.327|         61.445         54.330          7.115|        -36.328        -37.540          1.212|
    02_122          [4+2]intramolecular|         27.056         19.290          7.766|         43.479         37.460          6.019|        -16.423        -18.170          1.747|
    02_123          [6+4]intramolecular|         27.056         19.290          7.766|         49.207         41.950          7.257|        -22.151        -22.660          0.509|
    02_124          [4+2]intramolecular|         29.169         21.680          7.489|         53.024         46.020          7.004|        -23.856        -24.340          0.484|
    02_125          [6+4]intramolecular|         29.169         21.680          7.489|         53.313         47.320          5.993|        -24.144        -25.640          1.496|
    02_126           [3,3]rearrangement|         27.236         20.250          6.986|         32.176         26.190          5.986|         -4.940         -5.950          1.010|
    02_127           [3,3]rearrangement|         27.382         20.950          6.432|         39.195         32.160          7.035|        -11.813        -11.210         -0.603|
    02_128           [3,3]rearrangement|         38.158         32.740          5.418|         49.429         41.450          7.979|        -11.271         -8.710         -2.561|
    02_129           [3,3]rearrangement|         40.613         34.420          6.193|         47.211         40.150          7.061|         -6.598         -5.730         -0.868|
